name,count,rank,year,owner_language
Max,119,1,2020,__all__
Leo,78,2,2020,__all__
Moritz,76,3,2020,__all__
Nero,69,4,2020,__all__
Tom,44,5,2020,__all__
Bruno,43,6,2020,__all__
Fritz,42,7,2020,__all__
Sämi,39,8,2020,__all__
Sepp,37,9,2020,__all__
Lars,37,9,2020,__all__
Max,138,1,2021,__all__
Leo,107,2,2021,__all__
Moritz,103,3,2021,__all__
Nero,77,4,2021,__all__
Sepp,63,5,2021,__all__
Sämi,59,6,2021,__all__
Fritz,53,7,2021,__all__
Bruno,51,8,2021,__all__
Köbi,50,9,2021,__all__
Lars,46,10,2021,__all__
Max,139,1,2022,__all__
Leo,95,2,2022,__all__
Nero,88,3,2022,__all__
Moritz,83,4,2022,__all__
Sämi,57,5,2022,__all__
Bruno,53,6,2022,__all__
Peter,49,7,2022,__all__
Emil,49,7,2022,__all__
Sepp,48,9,2022,__all__
Fritz,45,10,2022,__all__
Max,108,1,2023,__all__
Leo,79,2,2023,__all__
Moritz,69,3,2023,__all__
Nero,53,4,2023,__all__
Fritz,50,5,2023,__all__
Tom,46,6,2023,__all__
Bruno,44,7,2023,__all__
Peter,43,8,2023,__all__
Emil,43,8,2023,__all__
Hans,42,10,2023,__all__
Max,110,1,2020,de
Moritz,74,2,2020,de
Leo,72,3,2020,de
Fritz,42,4,2020,de
Tom,40,5,2020,de
Bruno,37,6,2020,de
Sepp,36,7,2020,de
Sämi,35,8,2020,de
Lars,34,9,2020,de
Felix,33,10,2020,de
Max,124,1,2021,de
Leo,101,2,2021,de
Moritz,100,3,2021,de
Sepp,62,4,2021,de
Sämi,57,5,2021,de
Fritz,51,6,2021,de
Köbi,47,7,2021,de
Bruno,46,8,2021,de
Lars,43,9,2021,de
Peter,39,10,2021,de
Max,132,1,2022,de
Leo,90,2,2022,de
Moritz,79,3,2022,de
Sämi,53,4,2022,de
Emil,49,5,2022,de
Bruno,48,6,2022,de
Peter,47,7,2022,de
Sepp,47,7,2022,de
Fritz,44,9,2022,de
Paul,40,10,2022,de
Max,103,1,2023,de
Leo,75,2,2023,de
Moritz,69,3,2023,de
Fritz,50,4,2023,de
Tom,44,5,2023,de
Emil,43,6,2023,de
Hans,42,7,2023,de
Sämi,41,8,2023,de
Sepp,40,9,2023,de
Anton,40,9,2023,de
Flocon,8,1,2020,fr
Coquin,5,2,2020,fr
Flocon,8,1,2021,fr
Chocolat,7,2,2021,fr
Tom,5,3,2021,fr
Coco,5,3,2021,fr
Max,5,3,2021,fr
Jules,5,3,2021,fr
Bouba,5,3,2021,fr
Billy,5,3,2021,fr
Loulou,6,1,2022,fr
Flocon,6,1,2022,fr
Max,5,3,2022,fr
Louis,5,3,2022,fr
Filou,5,3,2022,fr
Billy,5,3,2022,fr
Tac,5,3,2022,fr
Jack,5,3,2022,fr
Osi,5,3,2022,fr
Oli,10,1,2023,fr
Léo,6,2,2023,fr
Ulysse,5,3,2023,fr
Max,5,3,2023,fr
Nero,40,1,2020,it
Bianco,9,2,2020,it
Camos,6,3,2020,it
Nero,40,1,2021,it
Camos,7,2,2021,it
Ignazz,7,2,2021,it
Mosc,7,2,2021,it
Friso,7,2,2021,it
Nera,5,6,2021,it
Carlo,5,6,2021,it
Nazz,5,6,2021,it
Nero,63,1,2022,it
Bianco,16,2,2022,it
Ignazz,11,3,2022,it
Camos,8,4,2022,it
Mosc,8,4,2022,it
Nazin,6,6,2022,it
Nazz,6,6,2022,it
Friso,5,8,2022,it
Nero,27,1,2023,it
Bianco,10,2,2023,it
Mosc,5,3,2023,it
