year,month,zone_valley,zone_hills,zone_mountain01,zone_mountain02,zone_mountain03,zone_mountain04,zone_summering,zone_unknown
2020,1,21294,10539,13448,21049,20825,9989,80,5780
2020,2,24422,11992,15333,24631,24395,11544,103,6437
2020,3,25104,12461,16307,26201,25390,12552,118,7206
2020,4,23854,12051,15260,24956,23767,12210,387,7175
2020,5,21943,10868,12869,19636,18117,9269,15869,6842
2020,6,20064,9471,11472,16198,11692,5519,31396,6526
2020,7,19642,9241,11172,15825,11246,5247,31805,6458
2020,8,19909,9454,11067,16365,11552,5274,29039,6341
2020,9,21809,10446,12795,19855,17205,8115,10267,6480
2020,10,21943,10890,13307,20734,18976,9243,3387,6400
2020,11,21483,10825,13296,20289,19263,9447,1098,6353
2020,12,21115,10591,13598,20298,19714,9664,297,6365
2021,1,23358,11375,14503,22507,22212,10680,154,6670
2021,2,25615,12751,16540,25938,25594,11957,142,7274
2021,3,25435,12771,16588,26308,24814,12415,152,7599
2021,4,25829,12846,16441,26028,24807,12580,360,7895
2021,5,24932,12089,14744,23473,21351,10793,7530,7711
2021,6,22134,10258,12016,17902,11976,5559,32166,7164
2021,7,21173,10005,11457,17016,11211,5126,33689,7124
2021,8,21118,10011,11244,17164,11178,5066,32001,6961
2021,9,23284,10920,13184,21131,16141,7576,13369,6984
2021,10,23303,11406,13646,21563,18933,9347,4603,6899
2021,11,22893,11203,13582,20949,19472,9647,1239,6742
2021,12,22450,11028,13501,20861,20042,9678,198,6712
2022,1,24235,11886,14692,22967,22044,10514,189,7002
2022,2,27179,13085,16502,26392,25857,12070,198,7499
2022,3,28556,13762,17617,28134,27250,13151,219,8098
2022,4,26922,13223,16594,26010,24681,12190,425,8066
2022,5,25186,12016,14150,21323,18581,9381,15391,7816
2022,6,22707,10386,11828,17844,11745,5263,32872,7454
2022,7,22068,10078,11514,17258,11338,5007,33364,7363
2022,8,21966,10094,11228,17605,11630,5220,30665,7291
2022,9,23732,11028,13073,21039,17315,7824,11274,7333
2022,10,23566,11321,13309,21318,18799,9156,4488,7148
2022,11,23129,11240,13019,20698,18677,9567,1798,7077
2022,12,22817,11043,12965,20643,19423,9553,320,6988
2023,1,24156,11752,14011,22406,21520,10067,239,7321
2023,2,27086,12765,15884,25787,24819,11541,249,7855
2023,3,27516,13110,16769,27359,25812,12591,288,8359
2023,4,26916,12833,16065,26118,24358,12311,538,8178
2023,5,24750,11656,13818,21835,18950,9233,12799,7926
2023,6,22190,10090,11513,17763,11895,5240,30325,7344
2023,7,21443,9695,11051,16983,11107,4972,30764,7125
