year,month,anglo_nubian,appenzellerziege,buendner_strahlenziege,burenziege,capra_grigia,capra_sempione,gaemsfarbige_gebirgsziege,gruenochte_geiss,kreuzung,kupferhalsziege,nera_verzascaziege,pfauenziege,rasseunbekannt,saanenziege,stiefelgeiss,tauernschecken,toggenburgerziege,walliser_schwarzhalsziege,zwergziege
2020,1,,342.0,735,492,65.0,0.0,3638,,122,0.0,247.0,262.0,1852,1918,23.0,35.0,1213,94.0,66
2020,2,15.0,893.0,1310,627,322.0,11.0,4282,8.0,306,31.0,811.0,487.0,4086,2609,124.0,88.0,1605,473.0,93
2020,3,21.0,851.0,1081,927,310.0,30.0,2798,18.0,825,51.0,405.0,581.0,2884,2297,131.0,87.0,1026,681.0,175
2020,4,14.0,234.0,394,492,110.0,7.0,825,7.0,751,29.0,119.0,177.0,927,940,20.0,25.0,289,187.0,254
2020,5,,69.0,121,288,39.0,,321,0.0,301,7.0,31.0,63.0,318,238,15.0,18.0,73,50.0,169
2020,6,0.0,16.0,40,74,,,149,0.0,135,6.0,10.0,25.0,112,51,11.0,8.0,26,14.0,141
2020,7,,8.0,28,31,,0.0,93,0.0,58,0.0,,,40,78,,0.0,13,6.0,96
2020,8,0.0,5.0,87,50,0.0,0.0,138,0.0,113,0.0,0.0,,37,302,,0.0,84,,63
2020,9,0.0,10.0,66,40,,0.0,135,0.0,190,0.0,0.0,14.0,62,451,,0.0,36,5.0,81
2020,10,,21.0,46,162,0.0,0.0,432,0.0,307,0.0,,26.0,59,937,9.0,0.0,191,12.0,44
2020,11,0.0,63.0,76,162,,,272,,200,,,10.0,88,367,0.0,0.0,176,19.0,92
2020,12,6.0,154.0,118,413,20.0,,838,,242,,15.0,36.0,296,536,15.0,6.0,248,11.0,109
2021,1,6.0,388.0,910,461,78.0,,3183,14.0,1423,20.0,338.0,270.0,1809,1950,41.0,52.0,1232,104.0,217
2021,2,18.0,883.0,1195,536,289.0,26.0,4554,37.0,2075,56.0,640.0,451.0,2794,2619,176.0,77.0,1610,519.0,206
2021,3,14.0,975.0,1256,785,325.0,44.0,3099,16.0,2165,64.0,404.0,533.0,2105,2075,121.0,71.0,1091,633.0,336
2021,4,18.0,327.0,527,635,136.0,12.0,1052,11.0,1197,31.0,190.0,231.0,1055,868,62.0,75.0,323,206.0,415
2021,5,,95.0,141,219,56.0,,639,7.0,568,10.0,29.0,84.0,314,278,41.0,7.0,90,42.0,230
2021,6,,28.0,53,73,13.0,,219,,255,5.0,,22.0,150,188,,,62,,160
2021,7,,8.0,36,63,,0.0,72,,156,0.0,,11.0,53,54,,7.0,47,5.0,132
2021,8,0.0,6.0,111,29,,0.0,213,,184,0.0,,,70,342,,,59,,86
2021,9,,0.0,89,39,,0.0,139,0.0,211,0.0,0.0,21.0,126,818,0.0,0.0,56,,70
2021,10,,7.0,39,216,,0.0,527,0.0,341,0.0,0.0,16.0,55,781,,,123,,82
2021,11,0.0,35.0,79,194,5.0,0.0,238,0.0,269,0.0,,6.0,77,207,0.0,0.0,247,,79
2021,12,9.0,156.0,178,307,6.0,0.0,830,0.0,200,6.0,46.0,55.0,293,448,22.0,6.0,238,,127
2022,1,6.0,356.0,797,503,118.0,,3155,7.0,1471,44.0,297.0,234.0,1557,1840,56.0,51.0,1235,39.0,173
2022,2,13.0,1019.0,1254,491,249.0,17.0,4720,32.0,2576,52.0,708.0,396.0,3080,2373,139.0,80.0,1392,387.0,290
2022,3,22.0,869.0,1301,722,346.0,42.0,2902,32.0,2526,92.0,386.0,534.0,1902,2069,143.0,121.0,1037,778.0,428
2022,4,7.0,302.0,546,516,144.0,33.0,1057,20.0,1243,27.0,121.0,195.0,1039,752,53.0,71.0,366,215.0,412
2022,5,5.0,99.0,139,258,39.0,,534,17.0,382,6.0,56.0,49.0,382,482,10.0,19.0,107,25.0,257
2022,6,,18.0,42,86,9.0,,238,,186,,26.0,13.0,87,127,5.0,12.0,30,,159
2022,7,,14.0,25,46,,0.0,36,,163,0.0,0.0,,50,93,,5.0,54,5.0,152
2022,8,,7.0,85,16,,0.0,144,0.0,309,0.0,0.0,5.0,191,335,,0.0,29,0.0,114
2022,9,5.0,9.0,90,48,,,247,0.0,176,0.0,,10.0,33,503,,7.0,73,10.0,53
2022,10,0.0,,63,194,,0.0,373,,292,0.0,,17.0,36,716,7.0,6.0,88,5.0,48
2022,11,0.0,71.0,84,191,,0.0,233,0.0,109,,,5.0,68,260,7.0,,149,11.0,70
2022,12,6.0,97.0,135,236,7.0,0.0,480,0.0,322,0.0,8.0,61.0,238,357,,,170,5.0,115
2023,1,15.0,317.0,697,508,59.0,,2595,5.0,1343,12.0,285.0,236.0,1526,1601,6.0,50.0,1231,39.0,164
2023,2,11.0,852.0,1149,485,250.0,29.0,4737,27.0,2677,79.0,700.0,427.0,2275,2378,145.0,113.0,1500,407.0,219
2023,3,9.0,982.0,1391,783,473.0,56.0,3058,31.0,2842,109.0,487.0,497.0,1990,1986,139.0,103.0,1164,685.0,538
2023,4,,304.0,411,423,155.0,9.0,1043,6.0,1243,22.0,199.0,172.0,800,659,46.0,59.0,323,175.0,284
2023,5,0.0,101.0,114,207,43.0,,343,,455,8.0,22.0,54.0,204,243,16.0,6.0,104,47.0,153
2023,6,,20.0,22,71,6.0,,134,,90,,10.0,16.0,55,161,,,23,6.0,94
2023,7,0.0,,8,30,7.0,0.0,15,,23,0.0,0.0,,23,41,8.0,0.0,9,,69
