year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh
2020,1,199.0,50.0,86.0,2212,39.0,16.0,508,34.0,247.0,1493.0,81.0,1042,40.0,196,125.0,1251,21.0,75.0,750,228.0,1123.0,274.0,469,278.0,78.0,193.0
2020,2,316.0,312.0,238.0,2891,122.0,29.0,890,56.0,263.0,2075.0,481.0,995,229.0,280,211.0,1804,14.0,107.0,993,277.0,2703.0,453.0,973,994.0,111.0,364.0
2020,3,277.0,181.0,335.0,3507,87.0,0.0,660,19.0,336.0,1606.0,347.0,794,99.0,228,141.0,1703,31.0,403.0,685,266.0,1001.0,305.0,493,1230.0,78.0,367.0
2020,4,151.0,34.0,91.0,1485,43.0,19.0,234,5.0,119.0,496.0,191.0,281,50.0,59,71.0,562,28.0,198.0,268,135.0,296.0,123.0,248,421.0,24.0,169.0
2020,5,87.0,16.0,31.0,403,16.0,5.0,102,6.0,40.0,263.0,67.0,161,26.0,49,30.0,153,5.0,59.0,127,49.0,94.0,37.0,86,108.0,25.0,81.0
2020,6,62.0,5.0,6.0,177,19.0,0.0,61,,10.0,56.0,41.0,75,12.0,51,7.0,29,,17.0,20,11.0,18.0,15.0,45,26.0,8.0,43.0
2020,7,28.0,,0.0,85,8.0,0.0,15,0.0,0.0,10.0,27.0,41,5.0,91,26.0,39,,6.0,11,7.0,6.0,,10,13.0,9.0,22.0
2020,8,17.0,0.0,6.0,170,5.0,0.0,23,0.0,,153.0,26.0,222,,47,37.0,30,5.0,,65,23.0,,23.0,10,,0.0,7.0
2020,9,,0.0,15.0,281,,0.0,36,0.0,,100.0,8.0,210,,47,82.0,40,,149.0,31,,,26.0,20,31.0,,
2020,10,,,7.0,463,,0.0,286,0.0,,100.0,386.0,194,48.0,110,111.0,181,,44.0,48,,5.0,64.0,12,8.0,6.0,162.0
2020,11,19.0,19.0,32.0,350,7.0,0.0,181,0.0,30.0,159.0,155.0,44,,30,38.0,166,0.0,,28,17.0,14.0,20.0,136,18.0,,62.0
2020,12,46.0,31.0,68.0,864,10.0,0.0,114,9.0,73.0,325.0,23.0,365,6.0,43,33.0,352,0.0,21.0,159,8.0,189.0,183.0,46,60.0,6.0,34.0
2021,1,197.0,139.0,56.0,2255,40.0,,505,0.0,250.0,1818.0,133.0,1054,23.0,193,133.0,1233,6.0,95.0,920,279.0,1751.0,287.0,363,449.0,116.0,201.0
2021,2,285.0,279.0,285.0,3029,77.0,34.0,1157,106.0,250.0,1764.0,423.0,1263,177.0,312,220.0,1779,22.0,166.0,890,259.0,2661.0,372.0,1143,1146.0,94.0,568.0
2021,3,347.0,223.0,342.0,3503,88.0,11.0,828,27.0,379.0,1718.0,466.0,946,176.0,194,139.0,1658,75.0,268.0,663,357.0,946.0,357.0,625,1356.0,53.0,367.0
2021,4,259.0,46.0,125.0,1742,62.0,20.0,323,22.0,199.0,730.0,149.0,482,69.0,61,121.0,639,26.0,99.0,362,152.0,479.0,135.0,271,530.0,38.0,230.0
2021,5,93.0,15.0,54.0,511,39.0,,148,5.0,41.0,257.0,79.0,222,39.0,24,43.0,503,10.0,38.0,122,59.0,109.0,73.0,114,135.0,9.0,110.0
2021,6,89.0,8.0,20.0,234,18.0,,74,0.0,18.0,87.0,45.0,181,9.0,36,,120,0.0,39.0,62,13.0,18.0,7.0,78,23.0,11.0,50.0
2021,7,76.0,,12.0,143,10.0,0.0,33,0.0,,22.0,18.0,76,,44,12.0,75,0.0,,18,7.0,12.0,9.0,38,22.0,,13.0
2021,8,28.0,,,263,8.0,0.0,20,0.0,7.0,197.0,20.0,129,,49,71.0,37,0.0,150.0,45,10.0,,28.0,22,13.0,0.0,
2021,9,12.0,0.0,0.0,461,,0.0,33,0.0,5.0,114.0,23.0,363,0.0,70,91.0,32,,240.0,29,,,29.0,25,24.0,,13.0
2021,10,,,15.0,481,,0.0,271,0.0,11.0,95.0,300.0,168,38.0,134,50.0,219,0.0,21.0,35,,0.0,72.0,59,87.0,6.0,129.0
2021,11,5.0,9.0,8.0,224,,0.0,249,0.0,35.0,177.0,72.0,37,,48,87.0,137,0.0,10.0,63,8.0,22.0,46.0,93,17.0,7.0,88.0
2021,12,34.0,14.0,35.0,696,14.0,,184,9.0,27.0,283.0,22.0,340,9.0,19,20.0,419,0.0,5.0,187,61.0,277.0,128.0,65,16.0,24.0,38.0
2022,1,237.0,95.0,116.0,2341,15.0,5.0,549,13.0,287.0,1920.0,65.0,1056,45.0,213,90.0,1203,15.0,81.0,889,205.0,1405.0,210.0,282,226.0,74.0,303.0
2022,2,380.0,309.0,363.0,3090,90.0,29.0,1204,120.0,271.0,1704.0,236.0,1340,204.0,265,283.0,1616,33.0,78.0,893,161.0,3253.0,485.0,1189,1084.0,141.0,447.0
2022,3,395.0,193.0,316.0,3314,129.0,13.0,809,32.0,367.0,1591.0,417.0,904,310.0,123,204.0,1829,51.0,290.0,691,272.0,1167.0,319.0,672,1407.0,56.0,381.0
2022,4,204.0,36.0,159.0,1491,43.0,11.0,359,30.0,180.0,799.0,222.0,481,43.0,148,132.0,668,13.0,73.0,342,127.0,411.0,152.0,226,439.0,23.0,307.0
2022,5,89.0,26.0,49.0,514,22.0,0.0,166,,32.0,281.0,131.0,335,33.0,40,34.0,398,0.0,36.0,122,91.0,119.0,47.0,105,94.0,11.0,89.0
2022,6,31.0,10.0,8.0,198,10.0,,87,5.0,7.0,88.0,40.0,81,6.0,12,9.0,180,,16.0,29,22.0,43.0,17.0,47,30.0,14.0,55.0
2022,7,19.0,10.0,6.0,142,,,30,0.0,,21.0,31.0,120,7.0,96,,27,5.0,20.0,22,17.0,12.0,0.0,30,16.0,0.0,15.0
2022,8,17.0,,24.0,254,,0.0,26,,,173.0,10.0,318,,175,25.0,58,0.0,,74,14.0,,12.0,26,7.0,0.0,8.0
2022,9,12.0,0.0,,390,,0.0,26,5.0,12.0,100.0,,299,,39,77.0,87,,32.0,35,7.0,,52.0,65,16.0,,11.0
2022,10,15.0,19.0,7.0,293,,0.0,242,0.0,32.0,75.0,247.0,76,0.0,62,74.0,123,0.0,210.0,22,0.0,0.0,62.0,122,39.0,,130.0
2022,11,9.0,0.0,17.0,249,,0.0,179,0.0,27.0,160.0,129.0,38,8.0,32,67.0,163,0.0,8.0,42,12.0,5.0,38.0,56,15.0,,9.0
2022,12,88.0,,62.0,460,8.0,0.0,117,,93.0,238.0,32.0,274,5.0,38,31.0,308,0.0,12.0,96,7.0,224.0,77.0,36,12.0,,14.0
2023,1,186.0,97.0,131.0,1829,35.0,0.0,323,0.0,165.0,1297.0,76.0,1221,27.0,211,103.0,1253,10.0,133.0,988,161.0,1485.0,254.0,180,170.0,101.0,255.0
2023,2,291.0,296.0,285.0,3226,89.0,5.0,1334,85.0,306.0,1561.0,193.0,1357,108.0,338,171.0,1722,34.0,120.0,842,238.0,2639.0,459.0,1151,1072.0,99.0,439.0
2023,3,377.0,246.0,343.0,3526,76.0,15.0,763,32.0,335.0,1872.0,461.0,979,194.0,229,339.0,1772,45.0,219.0,723,279.0,1465.0,331.0,806,1399.0,83.0,414.0
2023,4,146.0,37.0,155.0,1496,33.0,31.0,263,12.0,155.0,691.0,121.0,397,130.0,64,71.0,698,26.0,77.0,280,91.0,390.0,162.0,212,321.0,27.0,249.0
2023,5,73.0,6.0,43.0,387,9.0,9.0,101,,50.0,218.0,48.0,206,16.0,28,38.0,329,10.0,29.0,71,47.0,111.0,45.0,96,65.0,23.0,64.0
2023,6,27.0,,7.0,142,9.0,0.0,17,0.0,5.0,46.0,8.0,61,45.0,5,5.0,89,,109.0,34,21.0,16.0,13.0,38,10.0,0.0,15.0
2023,7,11.0,5.0,12.0,64,0.0,0.0,11,0.0,,,7.0,19,,20,10.0,26,,,6,5.0,,,7,5.0,,18.0
