year,month,dairy_goat,other_goat
2020,1,7958,3125
2020,2,11392,6779
2020,3,7388,7777
2020,4,2382,3398
2020,5,683,1438
2020,6,305,515
2020,7,206,250
2020,8,651,229
2020,9,854,242
2020,10,1735,511
2020,11,912,621
2020,12,2016,1048
2021,1,8557,3921
2021,2,11584,7168
2021,3,7817,8277
2021,4,2785,4570
2021,5,1154,1696
2021,6,545,683
2021,7,275,372
2021,8,853,255
2021,9,1368,205
2021,10,1572,628
2021,11,950,494
2021,12,2022,905
2022,1,8535,3402
2022,2,13011,6243
2022,3,8620,7625
2022,4,3022,4089
2022,5,1332,1534
2022,6,453,592
2022,7,317,336
2022,8,992,248
2022,9,1064,211
2022,10,1483,368
2022,11,815,454
2022,12,1599,638
2023,1,8239,2436
2023,2,13485,4926
2023,3,9784,7484
2023,4,2998,3307
2023,5,1024,1096
2023,6,376,348
2023,7,85,158
