year,month,male,female
2020,1,5665,5443
2020,2,9237,8944
2020,3,7486,7693
2020,4,2854,2947
2020,5,1061,1065
2020,6,372,449
2020,7,236,227
2020,8,494,388
2020,9,596,500
2020,10,1068,1181
2020,11,758,775
2020,12,1625,1443
2021,1,6416,6082
2021,2,9508,9253
2021,3,8108,8004
2021,4,3703,3668
2021,5,1442,1413
2021,6,618,627
2021,7,318,334
2021,8,628,485
2021,9,839,736
2021,10,1056,1144
2021,11,716,728
2021,12,1527,1401
2022,1,6116,5824
2022,2,9946,9322
2022,3,8308,7944
2022,4,3563,3556
2022,5,1451,1417
2022,6,522,526
2022,7,325,330
2022,8,684,556
2022,9,668,608
2022,10,943,910
2022,11,603,666
2022,12,1187,1053
2023,1,5580,5111
2023,2,9521,8939
2023,3,8724,8599
2023,4,3080,3255
2023,5,1043,1082
2023,6,361,365
2023,7,125,118
