year,month,1,2,3,total
2020,1,4003,3123,274,7401
2020,2,7226,4725,487,12438
2020,3,5697,4092,421,10211
2020,4,2321,1499,154,3976
2020,5,835,555,59,1449
2020,6,387,191,17,595
2020,7,174,125,13,312
2020,8,231,301,15,548
2020,9,360,289,51,700
2020,10,591,648,107,1346
2020,11,437,433,65,935
2020,12,974,908,92,1974
2021,1,4559,3426,347,8335
2021,2,7312,4905,518,12735
2021,3,5754,4475,451,10680
2021,4,2732,1959,209,4902
2021,5,1080,768,76,1924
2021,6,438,337,43,819
2021,7,247,186,11,444
2021,8,321,326,44,693
2021,9,420,476,66,962
2021,10,549,651,99,1299
2021,11,428,385,65,878
2021,12,946,880,73,1899
2022,1,4246,3381,306,7934
2022,2,7293,5225,496,13015
2022,3,5943,4457,456,10857
2022,4,2557,1938,219,4714
2022,5,1052,719,117,1888
2022,6,409,274,28,711
2022,7,251,177,16,444
2022,8,422,348,40,810
2022,9,368,385,45,798
2022,10,482,532,89,1103
2022,11,430,338,50,818
2022,12,794,628,62,1484
2023,1,3859,2977,284,7121
2023,2,6759,5076,505,12340
2023,3,6549,4697,448,11694
2023,4,2422,1689,173,4284
2023,5,811,583,48,1442
2023,6,275,192,22,489
2023,7,100,67,3,170
