year,month,breed,n_animals
2020,1,Anglo_Nubian,158
2020,2,Anglo_Nubian,174
2020,3,Anglo_Nubian,191
2020,4,Anglo_Nubian,190
2020,5,Anglo_Nubian,174
2020,6,Anglo_Nubian,163
2020,7,Anglo_Nubian,169
2020,8,Anglo_Nubian,165
2020,9,Anglo_Nubian,157
2020,10,Anglo_Nubian,157
2020,11,Anglo_Nubian,153
2020,12,Anglo_Nubian,155
2021,1,Anglo_Nubian,153
2021,2,Anglo_Nubian,165
2021,3,Anglo_Nubian,171
2021,4,Anglo_Nubian,181
2021,5,Anglo_Nubian,175
2021,6,Anglo_Nubian,175
2021,7,Anglo_Nubian,172
2021,8,Anglo_Nubian,171
2021,9,Anglo_Nubian,171
2021,10,Anglo_Nubian,168
2021,11,Anglo_Nubian,161
2021,12,Anglo_Nubian,165
2022,1,Anglo_Nubian,168
2022,2,Anglo_Nubian,177
2022,3,Anglo_Nubian,193
2022,4,Anglo_Nubian,185
2022,5,Anglo_Nubian,180
2022,6,Anglo_Nubian,173
2022,7,Anglo_Nubian,169
2022,8,Anglo_Nubian,167
2022,9,Anglo_Nubian,165
2022,10,Anglo_Nubian,153
2022,11,Anglo_Nubian,147
2022,12,Anglo_Nubian,148
2023,1,Anglo_Nubian,160
2023,2,Anglo_Nubian,168
2023,3,Anglo_Nubian,163
2023,4,Anglo_Nubian,154
2023,5,Anglo_Nubian,147
2023,6,Anglo_Nubian,148
2023,7,Anglo_Nubian,143
2020,1,Appenzellerziege,3608
2020,2,Appenzellerziege,4440
2020,3,Appenzellerziege,4885
2020,4,Appenzellerziege,4413
2020,5,Appenzellerziege,4093
2020,6,Appenzellerziege,3927
2020,7,Appenzellerziege,3819
2020,8,Appenzellerziege,3753
2020,9,Appenzellerziege,3666
2020,10,Appenzellerziege,3570
2020,11,Appenzellerziege,3563
2020,12,Appenzellerziege,3637
2021,1,Appenzellerziege,3950
2021,2,Appenzellerziege,4664
2021,3,Appenzellerziege,4819
2021,4,Appenzellerziege,4800
2021,5,Appenzellerziege,4481
2021,6,Appenzellerziege,4255
2021,7,Appenzellerziege,4137
2021,8,Appenzellerziege,4005
2021,9,Appenzellerziege,3834
2021,10,Appenzellerziege,3709
2021,11,Appenzellerziege,3616
2021,12,Appenzellerziege,3712
2022,1,Appenzellerziege,3989
2022,2,Appenzellerziege,4843
2022,3,Appenzellerziege,5310
2022,4,Appenzellerziege,4843
2022,5,Appenzellerziege,4464
2022,6,Appenzellerziege,4265
2022,7,Appenzellerziege,4152
2022,8,Appenzellerziege,4023
2022,9,Appenzellerziege,3853
2022,10,Appenzellerziege,3710
2022,11,Appenzellerziege,3647
2022,12,Appenzellerziege,3646
2023,1,Appenzellerziege,3871
2023,2,Appenzellerziege,4587
2023,3,Appenzellerziege,5033
2023,4,Appenzellerziege,4919
2023,5,Appenzellerziege,4506
2023,6,Appenzellerziege,4227
2023,7,Appenzellerziege,4055
2020,1,Buendner_Strahlenziege,6732
2020,2,Buendner_Strahlenziege,7920
2020,3,Buendner_Strahlenziege,8499
2020,4,Buendner_Strahlenziege,8261
2020,5,Buendner_Strahlenziege,7953
2020,6,Buendner_Strahlenziege,7711
2020,7,Buendner_Strahlenziege,7572
2020,8,Buendner_Strahlenziege,7496
2020,9,Buendner_Strahlenziege,7357
2020,10,Buendner_Strahlenziege,7072
2020,11,Buendner_Strahlenziege,6824
2020,12,Buendner_Strahlenziege,6718
2021,1,Buendner_Strahlenziege,7467
2021,2,Buendner_Strahlenziege,8423
2021,3,Buendner_Strahlenziege,8717
2021,4,Buendner_Strahlenziege,8841
2021,5,Buendner_Strahlenziege,8566
2021,6,Buendner_Strahlenziege,8328
2021,7,Buendner_Strahlenziege,8185
2021,8,Buendner_Strahlenziege,8037
2021,9,Buendner_Strahlenziege,7868
2021,10,Buendner_Strahlenziege,7488
2021,11,Buendner_Strahlenziege,7145
2021,12,Buendner_Strahlenziege,7070
2022,1,Buendner_Strahlenziege,7715
2022,2,Buendner_Strahlenziege,8726
2022,3,Buendner_Strahlenziege,9570
2022,4,Buendner_Strahlenziege,9264
2022,5,Buendner_Strahlenziege,8908
2022,6,Buendner_Strahlenziege,8620
2022,7,Buendner_Strahlenziege,8418
2022,8,Buendner_Strahlenziege,8201
2022,9,Buendner_Strahlenziege,8019
2022,10,Buendner_Strahlenziege,7663
2022,11,Buendner_Strahlenziege,7342
2022,12,Buendner_Strahlenziege,7310
2023,1,Buendner_Strahlenziege,7798
2023,2,Buendner_Strahlenziege,8744
2023,3,Buendner_Strahlenziege,9520
2023,4,Buendner_Strahlenziege,9285
2023,5,Buendner_Strahlenziege,8864
2023,6,Buendner_Strahlenziege,8425
2023,7,Buendner_Strahlenziege,8212
2020,1,Burenziege,6577
2020,2,Burenziege,7060
2020,3,Burenziege,7729
2020,4,Burenziege,7812
2020,5,Burenziege,7849
2020,6,Burenziege,7700
2020,7,Burenziege,7554
2020,8,Burenziege,7425
2020,9,Burenziege,7246
2020,10,Burenziege,7037
2020,11,Burenziege,6868
2020,12,Burenziege,7018
2021,1,Burenziege,7259
2021,2,Burenziege,7619
2021,3,Burenziege,7900
2021,4,Burenziege,8276
2021,5,Burenziege,8236
2021,6,Burenziege,8101
2021,7,Burenziege,7969
2021,8,Burenziege,7735
2021,9,Burenziege,7517
2021,10,Burenziege,7399
2021,11,Burenziege,7198
2021,12,Burenziege,7217
2022,1,Burenziege,7475
2022,2,Burenziege,7788
2022,3,Burenziege,8198
2022,4,Burenziege,8208
2022,5,Burenziege,8248
2022,6,Burenziege,8097
2022,7,Burenziege,7969
2022,8,Burenziege,7696
2022,9,Burenziege,7496
2022,10,Burenziege,7348
2022,11,Burenziege,7123
2022,12,Burenziege,7079
2023,1,Burenziege,7377
2023,2,Burenziege,7680
2023,3,Burenziege,8078
2023,4,Burenziege,8173
2023,5,Burenziege,8113
2023,6,Burenziege,7983
2023,7,Burenziege,7789
2020,1,Capra_Grigia,1988
2020,2,Capra_Grigia,2299
2020,3,Capra_Grigia,2533
2020,4,Capra_Grigia,2546
2020,5,Capra_Grigia,2515
2020,6,Capra_Grigia,2447
2020,7,Capra_Grigia,2423
2020,8,Capra_Grigia,2350
2020,9,Capra_Grigia,2280
2020,10,Capra_Grigia,2240
2020,11,Capra_Grigia,2164
2020,12,Capra_Grigia,2144
2021,1,Capra_Grigia,2176
2021,2,Capra_Grigia,2431
2021,3,Capra_Grigia,2620
2021,4,Capra_Grigia,2723
2021,5,Capra_Grigia,2691
2021,6,Capra_Grigia,2654
2021,7,Capra_Grigia,2635
2021,8,Capra_Grigia,2560
2021,9,Capra_Grigia,2504
2021,10,Capra_Grigia,2411
2021,11,Capra_Grigia,2329
2021,12,Capra_Grigia,2294
2022,1,Capra_Grigia,2354
2022,2,Capra_Grigia,2563
2022,3,Capra_Grigia,2844
2022,4,Capra_Grigia,2877
2022,5,Capra_Grigia,2832
2022,6,Capra_Grigia,2782
2022,7,Capra_Grigia,2738
2022,8,Capra_Grigia,2626
2022,9,Capra_Grigia,2540
2022,10,Capra_Grigia,2461
2022,11,Capra_Grigia,2335
2022,12,Capra_Grigia,2300
2023,1,Capra_Grigia,2312
2023,2,Capra_Grigia,2516
2023,3,Capra_Grigia,2919
2023,4,Capra_Grigia,2992
2023,5,Capra_Grigia,2915
2023,6,Capra_Grigia,2834
2023,7,Capra_Grigia,2447
2020,1,Capra_Sempione,61
2020,2,Capra_Sempione,72
2020,3,Capra_Sempione,102
2020,4,Capra_Sempione,109
2020,5,Capra_Sempione,112
2020,6,Capra_Sempione,107
2020,7,Capra_Sempione,107
2020,8,Capra_Sempione,103
2020,9,Capra_Sempione,103
2020,10,Capra_Sempione,88
2020,11,Capra_Sempione,88
2020,12,Capra_Sempione,89
2021,1,Capra_Sempione,90
2021,2,Capra_Sempione,113
2021,3,Capra_Sempione,153
2021,4,Capra_Sempione,157
2021,5,Capra_Sempione,152
2021,6,Capra_Sempione,151
2021,7,Capra_Sempione,145
2021,8,Capra_Sempione,141
2021,9,Capra_Sempione,137
2021,10,Capra_Sempione,116
2021,11,Capra_Sempione,116
2021,12,Capra_Sempione,110
2022,1,Capra_Sempione,111
2022,2,Capra_Sempione,127
2022,3,Capra_Sempione,168
2022,4,Capra_Sempione,194
2022,5,Capra_Sempione,188
2022,6,Capra_Sempione,185
2022,7,Capra_Sempione,183
2022,8,Capra_Sempione,179
2022,9,Capra_Sempione,175
2022,10,Capra_Sempione,151
2022,11,Capra_Sempione,143
2022,12,Capra_Sempione,140
2023,1,Capra_Sempione,142
2023,2,Capra_Sempione,166
2023,3,Capra_Sempione,218
2023,4,Capra_Sempione,221
2023,5,Capra_Sempione,210
2023,6,Capra_Sempione,206
2023,7,Capra_Sempione,206
2020,1,Gaemsfarbige_Gebirgsziege,20782
2020,2,Gaemsfarbige_Gebirgsziege,24264
2020,3,Gaemsfarbige_Gebirgsziege,24505
2020,4,Gaemsfarbige_Gebirgsziege,22321
2020,5,Gaemsfarbige_Gebirgsziege,21173
2020,6,Gaemsfarbige_Gebirgsziege,20496
2020,7,Gaemsfarbige_Gebirgsziege,20190
2020,8,Gaemsfarbige_Gebirgsziege,19790
2020,9,Gaemsfarbige_Gebirgsziege,19415
2020,10,Gaemsfarbige_Gebirgsziege,19175
2020,11,Gaemsfarbige_Gebirgsziege,18742
2020,12,Gaemsfarbige_Gebirgsziege,18964
2021,1,Gaemsfarbige_Gebirgsziege,21679
2021,2,Gaemsfarbige_Gebirgsziege,25028
2021,3,Gaemsfarbige_Gebirgsziege,24083
2021,4,Gaemsfarbige_Gebirgsziege,23520
2021,5,Gaemsfarbige_Gebirgsziege,22614
2021,6,Gaemsfarbige_Gebirgsziege,21816
2021,7,Gaemsfarbige_Gebirgsziege,21150
2021,8,Gaemsfarbige_Gebirgsziege,20786
2021,9,Gaemsfarbige_Gebirgsziege,20247
2021,10,Gaemsfarbige_Gebirgsziege,20057
2021,11,Gaemsfarbige_Gebirgsziege,19448
2021,12,Gaemsfarbige_Gebirgsziege,19397
2022,1,Gaemsfarbige_Gebirgsziege,21890
2022,2,Gaemsfarbige_Gebirgsziege,25571
2022,3,Gaemsfarbige_Gebirgsziege,26257
2022,4,Gaemsfarbige_Gebirgsziege,23601
2022,5,Gaemsfarbige_Gebirgsziege,22683
2022,6,Gaemsfarbige_Gebirgsziege,21788
2022,7,Gaemsfarbige_Gebirgsziege,21250
2022,8,Gaemsfarbige_Gebirgsziege,20645
2022,9,Gaemsfarbige_Gebirgsziege,20066
2022,10,Gaemsfarbige_Gebirgsziege,19611
2022,11,Gaemsfarbige_Gebirgsziege,19032
2022,12,Gaemsfarbige_Gebirgsziege,18872
2023,1,Gaemsfarbige_Gebirgsziege,20735
2023,2,Gaemsfarbige_Gebirgsziege,24622
2023,3,Gaemsfarbige_Gebirgsziege,24829
2023,4,Gaemsfarbige_Gebirgsziege,23353
2023,5,Gaemsfarbige_Gebirgsziege,21748
2023,6,Gaemsfarbige_Gebirgsziege,20626
2023,7,Gaemsfarbige_Gebirgsziege,20098
2020,1,Gruenochte_Geiss,74
2020,2,Gruenochte_Geiss,82
2020,3,Gruenochte_Geiss,100
2020,4,Gruenochte_Geiss,106
2020,5,Gruenochte_Geiss,104
2020,6,Gruenochte_Geiss,101
2020,7,Gruenochte_Geiss,100
2020,8,Gruenochte_Geiss,99
2020,9,Gruenochte_Geiss,99
2020,10,Gruenochte_Geiss,97
2020,11,Gruenochte_Geiss,97
2020,12,Gruenochte_Geiss,100
2021,1,Gruenochte_Geiss,113
2021,2,Gruenochte_Geiss,146
2021,3,Gruenochte_Geiss,157
2021,4,Gruenochte_Geiss,164
2021,5,Gruenochte_Geiss,164
2021,6,Gruenochte_Geiss,162
2021,7,Gruenochte_Geiss,162
2021,8,Gruenochte_Geiss,162
2021,9,Gruenochte_Geiss,158
2021,10,Gruenochte_Geiss,152
2021,11,Gruenochte_Geiss,146
2021,12,Gruenochte_Geiss,137
2022,1,Gruenochte_Geiss,140
2022,2,Gruenochte_Geiss,166
2022,3,Gruenochte_Geiss,194
2022,4,Gruenochte_Geiss,203
2022,5,Gruenochte_Geiss,211
2022,6,Gruenochte_Geiss,208
2022,7,Gruenochte_Geiss,207
2022,8,Gruenochte_Geiss,196
2022,9,Gruenochte_Geiss,190
2022,10,Gruenochte_Geiss,187
2022,11,Gruenochte_Geiss,173
2022,12,Gruenochte_Geiss,167
2023,1,Gruenochte_Geiss,170
2023,2,Gruenochte_Geiss,194
2023,3,Gruenochte_Geiss,224
2023,4,Gruenochte_Geiss,219
2023,5,Gruenochte_Geiss,212
2023,6,Gruenochte_Geiss,211
2023,7,Gruenochte_Geiss,211
2020,1,Kreuzung,3929
2020,2,Kreuzung,4228
2020,3,Kreuzung,5046
2020,4,Kreuzung,5733
2020,5,Kreuzung,5785
2020,6,Kreuzung,5679
2020,7,Kreuzung,5585
2020,8,Kreuzung,5576
2020,9,Kreuzung,5481
2020,10,Kreuzung,5430
2020,11,Kreuzung,5174
2020,12,Kreuzung,5099
2021,1,Kreuzung,6331
2021,2,Kreuzung,8102
2021,3,Kreuzung,8561
2021,4,Kreuzung,9133
2021,5,Kreuzung,8886
2021,6,Kreuzung,8399
2021,7,Kreuzung,8075
2021,8,Kreuzung,7885
2021,9,Kreuzung,7611
2021,10,Kreuzung,7152
2021,11,Kreuzung,6686
2021,12,Kreuzung,6331
2022,1,Kreuzung,7533
2022,2,Kreuzung,9741
2022,3,Kreuzung,11281
2022,4,Kreuzung,10460
2022,5,Kreuzung,9961
2022,6,Kreuzung,9483
2022,7,Kreuzung,9281
2022,8,Kreuzung,9132
2022,9,Kreuzung,8661
2022,10,Kreuzung,8145
2022,11,Kreuzung,7580
2022,12,Kreuzung,7388
2023,1,Kreuzung,8448
2023,2,Kreuzung,10679
2023,3,Kreuzung,12124
2023,4,Kreuzung,11714
2023,5,Kreuzung,10953
2023,6,Kreuzung,10260
2023,7,Kreuzung,9807
2020,1,Kupferhalsziege,302
2020,2,Kupferhalsziege,335
2020,3,Kupferhalsziege,383
2020,4,Kupferhalsziege,410
2020,5,Kupferhalsziege,417
2020,6,Kupferhalsziege,413
2020,7,Kupferhalsziege,410
2020,8,Kupferhalsziege,406
2020,9,Kupferhalsziege,399
2020,10,Kupferhalsziege,391
2020,11,Kupferhalsziege,386
2020,12,Kupferhalsziege,385
2021,1,Kupferhalsziege,403
2021,2,Kupferhalsziege,455
2021,3,Kupferhalsziege,512
2021,4,Kupferhalsziege,537
2021,5,Kupferhalsziege,534
2021,6,Kupferhalsziege,529
2021,7,Kupferhalsziege,524
2021,8,Kupferhalsziege,515
2021,9,Kupferhalsziege,502
2021,10,Kupferhalsziege,491
2021,11,Kupferhalsziege,472
2021,12,Kupferhalsziege,454
2022,1,Kupferhalsziege,489
2022,2,Kupferhalsziege,532
2022,3,Kupferhalsziege,615
2022,4,Kupferhalsziege,630
2022,5,Kupferhalsziege,613
2022,6,Kupferhalsziege,594
2022,7,Kupferhalsziege,583
2022,8,Kupferhalsziege,571
2022,9,Kupferhalsziege,551
2022,10,Kupferhalsziege,532
2022,11,Kupferhalsziege,514
2022,12,Kupferhalsziege,505
2023,1,Kupferhalsziege,511
2023,2,Kupferhalsziege,582
2023,3,Kupferhalsziege,678
2023,4,Kupferhalsziege,677
2023,5,Kupferhalsziege,675
2023,6,Kupferhalsziege,667
2023,7,Kupferhalsziege,651
2020,1,Nera_Verzascaziege,3610
2020,2,Nera_Verzascaziege,4384
2020,3,Nera_Verzascaziege,4533
2020,4,Nera_Verzascaziege,4211
2020,5,Nera_Verzascaziege,4048
2020,6,Nera_Verzascaziege,3974
2020,7,Nera_Verzascaziege,3966
2020,8,Nera_Verzascaziege,3940
2020,9,Nera_Verzascaziege,3902
2020,10,Nera_Verzascaziege,3820
2020,11,Nera_Verzascaziege,3688
2020,12,Nera_Verzascaziege,3637
2021,1,Nera_Verzascaziege,3879
2021,2,Nera_Verzascaziege,4429
2021,3,Nera_Verzascaziege,4284
2021,4,Nera_Verzascaziege,4269
2021,5,Nera_Verzascaziege,4092
2021,6,Nera_Verzascaziege,4019
2021,7,Nera_Verzascaziege,4011
2021,8,Nera_Verzascaziege,3977
2021,9,Nera_Verzascaziege,3930
2021,10,Nera_Verzascaziege,3855
2021,11,Nera_Verzascaziege,3685
2021,12,Nera_Verzascaziege,3631
2022,1,Nera_Verzascaziege,3838
2022,2,Nera_Verzascaziege,4463
2022,3,Nera_Verzascaziege,4612
2022,4,Nera_Verzascaziege,4181
2022,5,Nera_Verzascaziege,3987
2022,6,Nera_Verzascaziege,3941
2022,7,Nera_Verzascaziege,3901
2022,8,Nera_Verzascaziege,3865
2022,9,Nera_Verzascaziege,3802
2022,10,Nera_Verzascaziege,3711
2022,11,Nera_Verzascaziege,3551
2022,12,Nera_Verzascaziege,3434
2023,1,Nera_Verzascaziege,3644
2023,2,Nera_Verzascaziege,4264
2023,3,Nera_Verzascaziege,4347
2023,4,Nera_Verzascaziege,4157
2023,5,Nera_Verzascaziege,3936
2023,6,Nera_Verzascaziege,3812
2023,7,Nera_Verzascaziege,3740
2020,1,Pfauenziege,3254
2020,2,Pfauenziege,3724
2020,3,Pfauenziege,4087
2020,4,Pfauenziege,4028
2020,5,Pfauenziege,3913
2020,6,Pfauenziege,3816
2020,7,Pfauenziege,3728
2020,8,Pfauenziege,3629
2020,9,Pfauenziege,3528
2020,10,Pfauenziege,3411
2020,11,Pfauenziege,3282
2020,12,Pfauenziege,3221
2021,1,Pfauenziege,3410
2021,2,Pfauenziege,3795
2021,3,Pfauenziege,4055
