year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2020,1,3158,787,1588,18244,954,126,4620,294,1722,10700,2734,6427,966,1723,1398,9683,277,2185,4534,2073,11095,1954,4488,6694,843,3734,
2020,2,3474,1081,1802,20307,1070,143,5452,346,1969,12496,3151,7077,1172,1940,1570,11272,288,2595,5411,2285,13774,2300,5318,7588,954,4019,
2020,3,3663,1107,2054,22242,1153,141,5601,343,2201,13094,3297,7217,1186,1987,1550,12035,324,2593,5604,2426,13666,2429,5470,8687,974,4292,
2020,4,3625,1001,1916,21556,1164,138,5358,294,2138,12598,3272,6877,1135,1886,1484,11381,341,2522,5130,2310,12084,2279,5294,8668,878,4328,
2020,5,3509,991,1734,20391,1139,134,5134,288,2063,12137,3153,6683,1163,1803,1386,10966,307,2355,4977,2200,11427,2716,5201,8511,847,4195,
2020,6,3447,1060,1610,19313,1136,134,5108,284,1962,12603,3125,6512,1129,1753,1268,10483,293,2257,4796,2063,11056,2771,5048,8469,848,3807,
2020,7,3429,1011,1574,18892,1124,133,5070,282,1910,12464,3084,6377,1107,1849,1252,10268,274,2199,4700,2019,10994,2734,4896,8431,817,3743,
2020,8,3368,915,1644,18476,1133,125,5004,280,1848,12239,3026,6469,1086,1834,1279,9854,291,2200,4584,2022,11006,2633,4843,8291,828,3720,
2020,9,3390,840,1663,18336,1139,123,4997,273,1794,11171,3021,6418,1085,1711,1412,9592,290,2362,4417,2076,11113,2328,4552,7982,862,4022,
2020,10,3348,804,1640,18284,1107,117,5049,269,1716,10537,3265,6367,1094,1730,1541,9353,290,2255,4302,2081,11011,1941,4440,7379,848,4109,
2020,11,3286,805,1653,17890,1110,114,4904,268,1584,10171,3327,6221,1068,1608,1498,9196,288,2094,4183,1994,10693,1835,4457,6934,826,4044,
2020,12,3255,823,1708,18184,1095,114,4818,273,1620,10143,3014,6365,1033,1531,1446,9229,290,2112,4129,1979,10627,1943,4379,6744,826,3959,
2021,1,3401,948,1747,19824,1124,115,5099,280,1853,11481,3103,6834,1043,1668,1520,10205,292,2725,4936,2197,12044,2165,4718,7077,933,4124,
2021,2,3762,1204,1981,21794,1191,145,6083,372,2058,12709,3438,7744,1214,1930,1705,11510,306,2327,5780,2379,14302,2461,5762,8115,973,4563,
2021,3,3809,1108,2085,22812,1253,151,5970,347,2177,12695,3490,7540,1255,1820,1688,11848,362,2708,5542,2410,12632,2445,5581,8718,930,4703,
2021,4,3969,1063,2088,22919,1276,172,5954,339,2309,12857,3457,7659,1287,1763,1756,11810,384,2770,5433,2429,12398,2417,5633,8961,851,4829,
2021,5,3863,1021,2009,21624,1267,166,5674,316,2245,12329,3377,7520,1300,1650,1676,11674,368,2585,5238,2392,11999,2366,5535,8889,830,4707,
2021,6,3714,1121,1895,20609,1268,146,5499,298,2054,13080,3317,7232,1295,1590,1471,11232,310,2465,5130,2208,11113,2980,5492,8822,709,4122,
2021,7,3716,1120,1854,20101,1260,141,5364,295,2017,12805,3237,7005,1257,1634,1430,10870,305,2317,4950,2130,10998,3119,5517,8705,656,3995,
2021,8,3630,1036,1844,19581,1255,118,5243,302,1964,12471,3078,6984,1222,1643,1447,10674,299,2598,4839,1987,11022,3009,5387,8521,678,3908,
2021,9,3635,838,1832,19423,1273,119,5167,285,1928,11390,3032,7107,1192,1738,1504,10174,309,2775,4620,2003,11291,2652,5152,8164,730,4253,
2021,10,3604,818,1788,19084,1239,119,5137,288,1839,10786,3236,7025,1209,1756,1562,10001,301,2671,4414,1984,10971,2172,4983,7691,724,4295,
2021,11,3508,801,1737,18345,1197,119,4995,272,1781,10102,3187,6804,1180,1629,1636,9605,277,2673,4288,1925,10644,1995,4936,7222,701,4165,
2021,12,3457,803,1748,18268,1198,120,4896,278,1723,10016,3022,6807,1139,1529,1545,9675,270,2490,4275,1948,10731,1963,4839,6936,718,4073,
2022,1,3649,886,1853,20059,1176,123,5239,289,1967,11399,3042,7178,1165,1713,1580,10565,280,2884,5171,2111,11947,2087,5018,7052,767,4326,
2022,2,3892,1151,2163,22173,1260,149,6112,357,2198,12716,3217,8106,1351,1944,1812,11595,305,3000,6001,2241,14880,2501,6067,8055,875,4658,
2022,3,4125,1181,2345,23668,1377,158,6170,343,2446,13398,3530,8496,1524,1873,1898,12747,346,3335,6262,2466,14869,2693,6514,9226,862,4934,
2022,4,4081,998,2206,22582,1359,145,5956,335,2358,12756,3481,8038,1410,1801,1773,12314,334,2867,5397,2469,12349,2457,6024,8864,803,4953,
