year,month,new_tags,replacement_tags,nachmarkierung_tags
2020,1,58600,1294,9415
2020,2,37492,819,6608
2020,3,30752,1016,4929
2020,4,15740,973,2172
2020,5,8740,894,2033
2020,6,6142,423,913
2020,7,3020,275,395
2020,8,4780,432,493
2020,9,6170,937,863
2020,10,10234,494,711
2020,11,10072,628,910
2020,12,20094,1044,1252
2021,1,28236,1003,1188
2021,2,30666,967,1125
2021,3,26406,959,898
2021,4,14032,1226,658
2021,5,7930,1047,1000
2021,6,4356,529,236
2021,7,3618,364,117
2021,8,4934,557,175
2021,9,6630,639,123
2021,10,7186,398,95
2021,11,9148,632,281
2021,12,10666,506,295
2022,1,32284,702,308
2022,2,26696,616,308
2022,3,24874,904,216
2022,4,14346,997,161
2022,5,10130,822,148
2022,6,3660,464,34
2022,7,2332,499,30
2022,8,5108,463,22
2022,9,6142,792,24
2022,10,4640,542,28
2022,11,28702,648,38
2022,12,35638,760,186
2023,1,21226,711,76
2023,2,26746,757,37
2023,3,26552,1141,60
2023,4,13528,1071,90
2023,5,6454,898,61
2023,6,3116,501,42
2023,7,3716,453,21
