year,month,median_animals_per_holding,n_goats_holding,median_top10_percent_animals_per_holding,n_holding_median_top10_percent,median_bottom10_percent_animals_per_holding,n_holding_median_bottom10_percent
2020,1,5.0,9354.0,37.0,979,1.0,493
2020,2,5.0,9406.0,44.0,961,1.0,476
2020,3,5.0,9465.0,46.0,956,1.0,445
2020,4,5.0,9606.0,41.0,990,1.0,423
2020,5,5.0,9755.0,38.0,1005,1.0,457
2020,6,5.0,9649.0,39.0,968,1.0,509
2020,7,5.0,9708.0,37.0,996,1.0,524
2020,8,5.0,9831.0,35.0,1004,1.0,518
2020,9,5.0,9971.0,33.0,1039,1.0,446
2020,10,5.0,9967.0,33.0,1020,1.0,416
2020,11,5.0,9988.0,32.0,1023,1.0,394
2020,12,5.0,10014.0,33.0,1014,1.0,380
2021,1,5.0,10051.0,37.0,1033,1.0,367
2021,2,5.0,10091.0,43.0,1014,1.0,357
2021,3,5.0,10120.0,41.0,1055,1.0,354
2021,4,6.0,10191.0,41.0,1038,1.0,324
2021,5,5.0,10307.0,38.0,1072,1.0,333
2021,6,5.0,10137.0,36.0,1060,1.0,405
2021,7,5.0,10113.0,37.0,1018,1.0,411
2021,8,5.0,10176.0,35.0,1043,1.0,430
2021,9,5.0,10381.0,35.0,1066,1.0,357
2021,10,5.0,10375.0,34.0,1040,1.0,336
2021,11,5.0,10352.0,33.0,1046,1.0,335
2021,12,4.0,10342.0,32.0,1054,1.0,336
2022,1,5.0,10340.0,36.0,1073,1.0,334
2022,2,5.0,10356.0,43.0,1040,1.0,330
2022,3,5.0,10373.0,46.0,1054,1.0,328
2022,4,5.0,10434.0,41.0,1076,1.0,318
2022,5,5.0,10512.0,37.0,1092,1.0,354
2022,6,5.0,10292.0,37.0,1081,1.0,369
2022,7,5.0,10295.0,37.0,1048,1.0,373
2022,8,5.0,10359.0,35.5,1054,1.0,402
2022,9,5.0,10486.0,34.0,1078,1.0,337
2022,10,5.0,10453.0,32.0,1097,1.0,327
2022,11,5.0,10411.0,31.0,1112,1.0,320
2022,12,4.0,10380.0,31.0,1089,1.0,323
2023,1,4.0,10374.0,35.0,1042,1.0,336
2023,2,5.0,10366.0,41.0,1059,1.0,335
2023,3,5.0,10380.0,41.0,1102,1.0,315
2023,4,5.0,10443.0,40.0,1089,1.0,312
2023,5,5.0,10474.0,37.0,1096,1.0,325
2023,6,5.0,10205.0,36.0,1074,1.0,367
2023,7,5.0,10144.0,36.0,1032,1.0,366
