year,month,n_goats_holding
2020,1,9354
2020,2,9406
2020,3,9465
2020,4,9606
2020,5,9755
2020,6,9649
2020,7,9708
2020,8,9831
2020,9,9971
2020,10,9967
2020,11,9988
2020,12,10014
2021,1,10051
2021,2,10091
2021,3,10120
2021,4,10191
2021,5,10307
2021,6,10137
2021,7,10113
2021,8,10176
2021,9,10381
2021,10,10375
2021,11,10352
2021,12,10342
2022,1,10340
2022,2,10356
2022,3,10373
2022,4,10434
2022,5,10512
2022,6,10292
2022,7,10295
2022,8,10359
2022,9,10486
2022,10,10453
2022,11,10411
2022,12,10380
2023,1,10374
2023,2,10366
2023,3,10380
2023,4,10443
2023,5,10474
2023,6,10205
2023,7,10144
