canton,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Graubünden,12171,1.7,6.1,"Buendner_Strahlenziege  2203, Gaemsfarbige_Gebirgsziege  1763, Kreuzung  1616, Burenziege  692, Capra_Grigia  646","Luna  43, Bella  39, Bianca  30, Fiona  30, Stella  30"
Bern,19216,3.3,1.8,"Saanenziege  4597, Gaemsfarbige_Gebirgsziege  4132, Zwergziege  2059, Burenziege  1314, Kreuzung  1278","Luna  76, Sina  73, Emma  67, Flöckli  67, Bella  60"
Valais,8060,1.5,2.3,"Walliser_Schwarzhalsziege  2383, Gaemsfarbige_Gebirgsziege  1637, Kreuzung  510, Zwergziege  499, Buendner_Strahlenziege  450","Bella  28, Lisa  20, Luna  19, Lara  18, Mia  17"
Vaud,5377,1.9,0.7,"Gaemsfarbige_Gebirgsziege  2437, Zwergziege  808, Saanenziege  423, Kreuzung  368, Buendner_Strahlenziege  216","Noisette  15, Biscotte  13, Clochette  11, Stella  11, Bella  10"
Ticino,10647,3.9,3.0,"Nera_Verzascaziege  2460, Kreuzung  1032, Gaemsfarbige_Gebirgsziege  964, Saanenziege  775, Buendner_Strahlenziege  616","Nera  186, Bianca  49, Nazza  46, Ignazza  28, Frisa  21"
St. Gallen,11021,5.6,2.1,"Gaemsfarbige_Gebirgsziege  1985, Toggenburgerziege  1618, Appenzellerziege  1318, Kreuzung  937, Burenziege  756","Flöckli  60, Bella  44, Luna  43, Sina  43, Fiona  40"
Zürich,4014,2.4,0.3,"Zwergziege  881, Gaemsfarbige_Gebirgsziege  376, Burenziege  374, Kreuzung  360, Saanenziege  293","Flöckli  25, Luna  25, Bella  19, Sina  17, Nina  13"
Fribourg,5193,3.3,1.6,"Gaemsfarbige_Gebirgsziege  2380, Zwergziege  751, Saanenziege  581, Toggenburgerziege  312, Kreuzung  215","Edelweiss  15, Heidi  15, Blanchette  13, Coquine  12, Nina  11"
Luzern,6938,4.9,1.7,"Saanenziege  1602, Gaemsfarbige_Gebirgsziege  1078, Zwergziege  796, Toggenburgerziege  621, Buendner_Strahlenziege  578","Flöckli  29, Bella  26, Luna  25, Tina  24, Lisa  23"
Aargau,3602,2.6,0.5,"Zwergziege  717, Kreuzung  643, Gaemsfarbige_Gebirgsziege  345, Burenziege  327, Buendner_Strahlenziege  235","Flöckli  24, Luna  24, Bella  14, Mia  14, Max  13"
Uri,2850,2.7,7.7,"Burenziege  478, Gaemsfarbige_Gebirgsziege  380, Toggenburgerziege  317, Saanenziege  227, Kreuzung  214","Lisi  13, Lina  11, Sina  10, Heidi  9, Lotti  9"
