commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Scuol,500.0,1.1,10.8,"Gaemsfarbige_Gebirgsziege  113, Buendner_Strahlenziege  65, Kreuzung  49, Capra_Grigia  32, Stiefelgeiss  29",
Glarus Süd,1214.0,2.8,12.8,"Kreuzung  218, Gaemsfarbige_Gebirgsziege  190, Buendner_Strahlenziege  177, Burenziege  125, Appenzellerziege  63, Saanenziege  63","Laura  9, Flora  6, Lena  6, Nina  6, Susi  6"
Zernez,87.0,0.3,5.8,"Capra_Grigia  29, Nera_Verzascaziege  15",
Surses,744.0,2.3,31.3,"Gaemsfarbige_Gebirgsziege  206, Buendner_Strahlenziege  188, Kreuzung  45, Saanenziege  37, Toggenburgerziege  29",
Val de Bagnes,374.0,1.2,3.6,"Gaemsfarbige_Gebirgsziege  42, Walliser_Schwarzhalsziege  40, Saanenziege  37, Kreuzung  29, Buendner_Strahlenziege  28",
Davos,156.0,0.5,1.4,"Buendner_Strahlenziege  54, Saanenziege  27, Kreuzung  20, Zwergziege  17, Appenzellerziege  14",
Bregaglia,371.0,1.5,23.8,"Buendner_Strahlenziege  107, Kreuzung  31, Capra_Grigia  26, Burenziege  24, Nera_Verzascaziege  24",
Anniviers,133.0,0.5,4.9,"Burenziege  54, Walliser_Schwarzhalsziege  11, Zwergziege  11, Pfauenziege  9, Capra_Grigia  6",
Zermatt,107.0,0.4,1.8,"Walliser_Schwarzhalsziege  76, Saanenziege  17, Buendner_Strahlenziege  8",
Innertkirchen,457.0,1.9,42.6,"Gaemsfarbige_Gebirgsziege  122, Buendner_Strahlenziege  83, Saanenziege  65, Burenziege  47, Pfauenziege  30",
Klosters,264.0,1.2,6.0,"Buendner_Strahlenziege  95, Kreuzung  43, Gaemsfarbige_Gebirgsziege  28, Capra_Grigia  21, Walliser_Schwarzhalsziege  16",
Verzasca,718.0,3.3,89.9,"Nera_Verzascaziege  252, Kreuzung  31, Gaemsfarbige_Gebirgsziege  29, Buendner_Strahlenziege  17, Capra_Grigia  9",
Evolène,13.0,0.1,0.8,,
Blenio,499.0,2.5,28.2,"Saanenziege  93, Kreuzung  47, Buendner_Strahlenziege  11, Gaemsfarbige_Gebirgsziege  8, Capra_Grigia  6","Nera  49, Ignazza  28, Frisa  20, Nero  5"
Guttannen,57.0,0.3,23.3,"Buendner_Strahlenziege  25, Kreuzung  11, Gaemsfarbige_Gebirgsziege  5, Saanenziege  5",
