year,month,first_registration,import,birth,import_swiss_ear_tag,slaughter,death,on_farm_slaughter,export
2020,1,94513,0.0,11219,0.0,594,621,95,0.0
2020,2,418,0.0,18270,0.0,1432,669,99,0.0
2020,3,188,0.0,15296,0.0,6231,1252,381,0.0
2020,4,263,0.0,5831,0.0,9023,891,1058,0.0
2020,5,220,0.0,2131,0.0,4188,909,624,0.0
2020,6,86,,824,0.0,2299,590,360,0.0
2020,7,38,,472,,1218,476,155,0.0
2020,8,55,9.0,886,0.0,1478,553,186,0.0
2020,9,54,,1098,0.0,1766,621,240,
2020,10,118,7.0,2255,0.0,2756,853,363,23.0
2020,11,66,,1542,0.0,2911,758,381,
2020,12,152,,3092,0.0,1954,921,365,0.0
2021,1,90,0.0,12580,0.0,1200,924,248,0.0
2021,2,73,0.0,18864,0.0,1986,1690,245,0.0
2021,3,58,,16203,,12675,1573,867,0.0
2021,4,32,0.0,7412,0.0,3887,1273,843,
2021,5,31,6.0,2879,0.0,4462,1159,761,0.0
2021,6,22,0.0,1254,0.0,2848,815,466,
2021,7,44,6.0,652,0.0,1659,812,231,
2021,8,35,,1118,0.0,1793,921,165,6.0
2021,9,18,0.0,1617,0.0,2138,986,238,0.0
2021,10,13,,2208,0.0,3267,985,415,0.0
2021,11,27,0.0,1460,0.0,3620,1008,435,0.0
2021,12,67,0.0,2947,0.0,2580,1011,317,0.0
2022,1,62,0.0,12039,0.0,1517,942,231,0.0
2022,2,39,0.0,19411,0.0,2107,1297,230,18.0
2022,3,36,0.0,16339,0.0,5566,1540,523,0.0
2022,4,33,,7166,0.0,12422,1630,948,0.0
2022,5,22,22.0,2876,0.0,4628,1232,706,0.0
2022,6,24,8.0,1049,0.0,2780,1141,397,0.0
2022,7,14,0.0,659,0.0,1280,905,230,0.0
2022,8,9,,1243,0.0,1990,993,191,0.0
2022,9,21,,1281,0.0,2539,1081,275,0.0
2022,10,17,0.0,1880,0.0,3351,1145,402,0.0
2022,11,18,,1273,0.0,3346,1116,414,5.0
2022,12,23,,2247,0.0,2009,1070,355,
2023,1,50,0.0,10738,0.0,1262,1132,281,0.0
2023,2,18,0.0,18572,0.0,1919,1528,235,0.0
2023,3,24,0.0,17462,0.0,8575,1798,481,0.0
2023,4,27,0.0,6376,0.0,7891,1558,876,0.0
2023,5,10,0.0,2140,0.0,5716,1402,564,
2023,6,9,0.0,732,0.0,3015,965,423,0.0
2023,7,7,,243,0.0,1477,683,189,0.0
