year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1213_years_old,1314_years_old,1415_years_old,1520_years_old
2020,1,Male,9452,1821,1326,946,765,529,318,246,207,162,139,113,88,37,44,66
2020,2,Male,16954,2025,1395,1038,798,583,335,255,222,159,157,106,86,47,48,66
2020,3,Male,18661,2159,1482,1075,827,615,370,272,225,165,174,97,96,57,48,67
2020,4,Male,14121,2263,1518,1096,822,642,394,275,224,159,189,95,101,65,46,70
2020,5,Male,11559,2277,1495,1086,838,645,382,282,234,169,185,94,101,68,42,76
2020,6,Male,9895,2269,1501,1047,849,624,392,271,241,169,186,92,105,66,40,77
2020,7,Male,9069,2281,1474,1062,841,626,389,264,239,176,182,92,105,66,42,77
2020,8,Male,8487,2267,1469,1062,832,622,378,266,233,179,178,92,108,66,42,76
2020,9,Male,7879,2247,1464,1061,811,619,384,261,237,176,177,96,106,68,41,77
2020,10,Male,7183,2242,1413,1054,791,616,379,257,238,175,171,100,106,65,39,77
2020,11,Male,6045,2294,1392,1035,770,599,385,242,235,176,166,101,107,65,38,75
2020,12,Male,5671,2602,1426,1026,775,611,404,257,235,189,145,121,106,68,34,81
2021,1,Male,10797,2618,1433,1065,782,645,451,267,225,195,145,128,103,73,31,82
2021,2,Male,17578,2745,1550,1094,824,664,478,282,223,208,144,143,96,72,38,86
2021,3,Male,15383,2976,1611,1159,844,666,510,302,232,210,153,156,88,82,45,88
2021,4,Male,15288,3040,1691,1164,865,667,522,318,231,210,146,165,86,86,53,90
2021,5,Male,13020,3027,1706,1142,847,686,520,316,236,213,157,164,86,89,55,92
2021,6,Male,11335,2966,1707,1143,825,693,511,328,229,222,158,163,86,93,53,92
2021,7,Male,10165,2913,1732,1122,828,685,517,326,220,220,163,161,86,92,52,95
2021,8,Male,9458,2829,1736,1124,830,675,513,321,218,216,166,155,87,92,53,94
2021,9,Male,8769,2772,1726,1123,825,661,506,323,213,219,159,151,93,88,58,90
2021,10,Male,7802,2639,1746,1099,829,640,509,318,205,220,161,147,95,87,58,87
2021,11,Male,6429,2416,1781,1092,809,620,491,328,197,215,162,148,95,82,56,85
2021,12,Male,6122,2018,1966,1114,798,619,500,342,221,206,172,130,110,84,57,87
2022,1,Male,10816,2193,1953,1111,836,621,518,381,228,196,177,129,115,81,60,79
2022,2,Male,18367,2417,2009,1191,858,655,533,402,239,189,191,128,125,78,57,90
2022,3,Male,21383,2659,2101,1227,931,677,522,430,261,199,190,134,137,73,62,95
2022,4,Male,15151,2878,2069,1313,937,698,522,442,277,199,191,130,147,76,59,101
2022,5,Male,12772,2843,2026,1312,917,697,535,442,276,204,192,141,145,74,63,102
2022,6,Male,10892,2808,2011,1327,928,670,553,429,287,195,202,143,145,75,63,100
2022,7,Male,10031,2778,1974,1350,914,677,544,437,289,188,200,148,140,72,65,102
2022,8,Male,9251,2760,1931,1347,905,674,534,431,288,188,193,152,136,73,68,98
2022,9,Male,8301,2702,1873,1330,905,670,524,425,292,182,194,148,131,77,63,102
2022,10,Male,7204,2626,1781,1344,878,672,508,422,290,177,198,147,129,78,64,97
2022,11,Male,5871,2514,1701,1358,858,648,501,407,298,168,192,146,131,75,65,96
2022,12,Male,5567,2421,1430,1496,887,617,509,408,304,190,186,157,118,81,70,102
2023,1,Male,9829,2390,1570,1476,894,655,504,419,330,195,175,161,116,88,69,100
2023,2,Male,17070,2485,1644,1507,945,674,525,422,350,205,166,171,115,98,63,100
2023,3,Male,18434,2623,1760,1575,980,721,535,419,371,227,172,161,122,108,59,107
2023,4,Male,15300,2606,1907,1519,1063,713,550,417,382,239,180,159,118,121,59,114
2023,5,Male,11979,2566,1864,1488,1066,705,547,425,382,235,178,163,124,122,55,120
2023,6,Male,9949,2532,1851,1472,1051,717,524,442,369,247,171,174,123,124,57,118
2023,7,Male,8707,2480,1854,1438,1056,697,536,436,374,249,164,172,129,119,56,117
2020,1,Female,21388,14715,12663,10355,8236,6369,4055,2979,2197,1500,1056,522,299,147,107,157
2020,2,Female,24968,15505,13237,11061,8449,6891,4641,3206,2380,1630,1228,604,328,186,107,160
2020,3,Female,26393,16004,13550,11468,8931,7204,4978,3437,2431,1724,1325,652,367,193,122,170
2020,4,Female,24434,16152,13538,11549,9118,7267,5007,3461,2455,1723,1369,630,390,186,126,175
2020,5,Female,23131,16094,13438,11492,9071,7252,4988,3451,2420,1713,1341,613,389,188,119,180
2020,6,Female,22335,16027,13295,11352,9036,7192,4993,3419,2385,1693,1312,606,383,183,120,182
2020,7,Female,21906,15921,13209,11318,9005,7146,4964,3411,2350,1664,1294,602,377,184,118,182
2020,8,Female,21518,15777,13144,11273,8926,7050,4930,3351,2319,1637,1278,581,383,178,118,181
2020,9,Female,20992,15549,13092,11125,8809,6983,4864,3309,2263,1611,1261,564,376,179,114,177
2020,10,Female,20703,15440,12896,10975,8679,6900,4784,3210,2241,1516,1266,548,361,173,107,175
2020,11,Female,19887,15538,12637,10892,8519,6800,4732,3137,2175,1481,1213,523,350,170,104,171
2020,12,Female,18146,15978,12796,10768,8897,6805,5025,3186,2195,1508,1073,688,337,187,116,183
2021,1,Female,20958,16212,12736,10997,8936,7090,5370,3340,2375,1675,1090,787,360,200,104,189
2021,2,Female,24847,16621,13267,11341,9414,7209,5759,3752,2550,1815,1156,896,412,219,131,196
2021,3,Female,24087,17187,13555,11664,9682,7601,6029,4002,2706,1846,1226,958,449,239,131,213
2021,4,Female,24304,17368,13627,11566,9712,7704,6037,4031,2726,1835,1225,983,434,260,130,222
2021,5,Female,23149,17178,13557,11411,9652,7627,5990,4017,2700,1783,1216,953,423,264,130,217
2021,6,Female,22275,16924,13480,11284,9543,7589,5928,3983,2662,1754,1203,927,420,259,124,216
2021,7,Female,21667,16751,13375,11196,9514,7578,5897,3940,2659,1726,1181,923,421,259,125,212
2021,8,Female,21261,16519,13273,11085,9438,7504,5816,3915,2609,1706,1154,906,413,255,121,201
2021,9,Female,20933,16220,13097,11020,9336,7376,5735,3858,2571,1665,1135,892,400,256,119,200
2021,10,Female,20213,16083,12979,10799,9208,7269,5637,3796,2507,1662,1062,892,391,243,116,201
2021,11,Female,19336,15602,13040,10538,9064,7108,5501,3726,2427,1590,1017,847,380,233,115,197
2021,12,Female,18991,14123,13453,10698,8912,7383,5490,3965,2456,1613,1042,722,507,233,129,204
2022,1,Female,21271,14646,13651,10627,9109,7359,5786,4218,2594,1724,1173,730,562,246,136,203
2022,2,Female,25195,15414,13870,11105,9412,7705,5924,4522,2924,1882,1284,762,609,290,139,216
2022,3,Female,26952,15818,14304,11363,9692,7986,6223,4768,3138,2000,1324,790,661,315,150,220
2022,4,Female,23781,16000,14418,11421,9636,7939,6313,4789,3127,2023,1297,804,683,303,168,219
2022,5,Female,22664,15890,14266,11373,9528,7884,6236,4745,3089,2011,1274,794,671,292,167,219
2022,6,Female,21616,15749,14090,11323,9403,7783,6204,4678,3088,1983,1239,788,646,298,169,214
2022,7,Female,21022,15648,13958,11222,9334,7757,6172,4646,3040,1974,1214,785,640,291,165,213
2022,8,Female,20567,15408,13763,11137,9242,7719,6088,4542,3014,1940,1190,773,626,285,164,212
2022,9,Female,19809,15217,13448,10981,9202,7583,5977,4469,2962,1879,1163,756,609,277,159,208
2022,10,Female,18972,14957,13274,10853,9011,7459,5845,4381,2869,1800,1142,699,607,267,152,202
2022,11,Female,18093,14655,12894,10920,8821,7356,5679,4277,2811,1723,1084,686,580,251,150,196
2022,12,Female,17626,14597,11650,11210,8967,7306,5825,4276,2985,1724,1090,730,494,357,156,212
2023,1,Female,19477,14739,11993,11320,8885,7479,5825,4545,3139,1890,1162,805,499,376,156,211
2023,2,Female,23409,15108,12480,11532,9286,7780,6148,4659,3427,2123,1276,881,527,396,187,225
2023,3,Female,24926,15551,12742,11886,9476,8012,6395,4908,3598,2248,1365,909,544,434,201,235
2023,4,Female,23168,15484,12924,11934,9467,7969,6401,4982,3581,2252,1370,896,548,454,188,252
2023,5,Female,21239,15204,12776,11805,9419,7866,6313,4914,3543,2235,1346,865,544,447,183,249
2023,6,Female,19998,14768,12648,11603,9371,7742,6202,4868,3476,2213,1320,837,540,427,181,245
2023,7,Female,19048,14579,12545,11459,9240,7653,6140,4832,3434,2157,1298,801,531,416,180,242
