year,month,ch,fl
2020,1,103004,472
2020,2,118857,535
2020,3,125339,584
2020,4,119660,553
2020,5,115413,514
2020,6,112338,469
2020,7,110636,469
2020,8,109001,460
2020,9,106972,483
2020,10,104880,452
2020,11,102054,473
2020,12,101642,471
2021,1,111459,509
2021,2,125811,570
2021,3,126082,573
2021,4,126786,561
2021,5,122623,541
2021,6,119175,485
2021,7,116801,480
2021,8,114743,463
2021,9,112589,496
2021,10,109700,461
2021,11,105727,460
2021,12,104470,465
2022,1,113529,548
2022,2,128782,645
2022,3,136787,690
2022,4,128111,666
2022,5,123844,543
2022,6,120099,521
2022,7,117990,515
2022,8,115699,470
2022,9,112618,537
2022,10,109105,526
2022,11,105205,496
2022,12,103752,480
2023,1,111472,502
2023,2,125986,563
2023,3,131804,631
2023,4,127317,633
2023,5,120967,583
2023,6,116360,539
2023,7,113140,511
