year,month,male,female
2020,1,16259,86745
2020,2,24275,94582
2020,3,26390,98949
2020,4,22080,97580
2020,5,19533,95880
2020,6,17825,94513
2020,7,16985,93651
2020,8,16357,92644
2020,9,15704,91268
2020,10,14906,89974
2020,11,13725,88329
2020,12,13753,87889
2021,1,19040,92419
2021,2,26225,99586
2021,3,24505,101577
2021,4,24622,102164
2021,5,22356,100267
2021,6,20604,98571
2021,7,19377,97424
2021,8,18567,96176
2021,9,17776,94813
2021,10,16642,93058
2021,11,15006,90721
2021,12,14547,89923
2022,1,19494,94035
2022,2,27529,101253
2022,3,31081,105706
2022,4,25190,102921
2022,5,22741,101103
2022,6,20828,99271
2022,7,19909,98081
2022,8,19029,96670
2022,9,17919,94699
2022,10,16615,92490
2022,11,15029,90176
2022,12,14544,89208
2023,1,18971,92501
2023,2,26541,99445
2023,3,28374,103430
2023,4,25447,101870
2023,5,22019,98948
2023,6,19921,96439
2023,7,18585,94555
