year,month,male,n_stillbirth_male,female,n_stillbirth_female
2020,1,0.0684,416.0,0.0437,249.0
2020,2,0.0726,724.0,0.038,354.0
2020,3,0.0621,497.0,0.0423,340.0
2020,4,0.0642,196.0,0.0388,119.0
2020,5,0.0484,54.0,0.0318,35.0
2020,6,0.0388,15.0,0.0197,9.0
2020,7,0.056,14.0,0.0298,7.0
2020,8,0.0478,25.0,0.0467,19.0
2020,9,0.0508,32.0,0.0196,10.0
2020,10,0.0479,54.0,0.0343,42.0
2020,11,0.0796,66.0,0.0384,31.0
2020,12,0.0734,129.0,0.0568,87.0
2021,1,0.0604,414.0,0.0428,272.0
2021,2,0.0595,602.0,0.0329,315.0
2021,3,0.0559,481.0,0.0407,340.0
2021,4,0.0655,260.0,0.0412,158.0
2021,5,0.0587,90.0,0.0432,64.0
2021,6,0.04,26.0,0.0294,19.0
2021,7,0.0364,12.0,0.0375,13.0
2021,8,0.0455,30.0,0.0633,33.0
2021,9,0.0461,42.0,0.0361,28.0
2021,10,0.0476,53.0,0.0346,41.0
2021,11,0.0924,73.0,0.0631,49.0
2021,12,0.0843,141.0,0.0689,104.0
2022,1,0.0627,410.0,0.0454,277.0
2022,2,0.0585,619.0,0.0405,394.0
2022,3,0.0576,508.0,0.0448,373.0
2022,4,0.0551,208.0,0.0361,133.0
2022,5,0.0674,105.0,0.0571,86.0
2022,6,0.0474,26.0,0.0471,26.0
2022,7,0.0684,24.0,0.049,17.0
2022,8,0.0379,27.0,0.033,19.0
2022,9,0.0442,31.0,0.0287,18.0
2022,10,0.0649,66.0,0.0579,56.0
2022,11,0.101,68.0,0.0606,43.0
2022,12,0.0854,111.0,0.053,59.0
2023,1,0.0628,375.0,0.0396,211.0
2023,2,0.0647,659.0,0.0422,395.0
2023,3,0.0602,560.0,0.0424,381.0
2023,4,0.0677,224.0,0.0445,152.0
2023,5,0.0645,72.0,0.0365,41.0
2023,6,0.0648,25.0,0.0187,7.0
2023,7,,,,
