year,month,age_less_than1y,age_more_than1y
2020,1,36,44
2020,2,50,53
2020,3,64,54
2020,4,116,271
2020,5,3633,12236
2020,6,7112,24284
2020,7,7149,24656
2020,8,6248,22791
2020,9,2165,8102
2020,10,543,2844
2020,11,209,889
2020,12,67,230
2021,1,48,106
2021,2,41,101
2021,3,30,122
2021,4,51,309
2021,5,1415,6115
2021,6,7181,24985
2021,7,7479,26210
2021,8,6960,25041
2021,9,2630,10739
2021,10,707,3896
2021,11,184,1055
2021,12,32,166
2022,1,32,157
2022,2,43,155
2022,3,57,162
2022,4,61,364
2022,5,3452,11939
2022,6,7118,25754
2022,7,7162,26202
2022,8,6335,24330
2022,9,2026,9248
2022,10,656,3832
2022,11,221,1577
2022,12,44,276
2023,1,34,205
2023,2,40,209
2023,3,58,230
2023,4,55,483
2023,5,2833,9966
2023,6,6751,23574
2023,7,6711,24053
