year,month,ai,ar,be,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,ti,ur,vd,vs,zh
2020,1,0.0,0.0,6.0,8,6.0,14,0,0,0.0,,0.0,,,10.0,9,11,6,,0
2020,2,0.0,0.0,6.0,6,6.0,16,0,0,0.0,,0.0,,,10.0,19,24,6,,0
2020,3,0.0,0.0,6.0,6,11.0,28,0,0,0.0,,0.0,,,10.0,24,17,6,,0
2020,4,0.0,0.0,13.0,8,11.0,39,21,0,0.0,6.0,29.0,21.0,,46.0,154,13,17,6.0,0
2020,5,416.0,160.0,2108.0,775,260.0,2113,21,80,0.0,120.0,212.0,1521.0,,956.0,3984,1115,478,1531.0,16
2020,6,606.0,199.0,4511.0,953,600.0,6706,21,88,0.0,312.0,258.0,2907.0,,1309.0,7023,1667,767,3450.0,16
2020,7,587.0,192.0,4481.0,940,591.0,6834,21,87,0.0,339.0,276.0,2867.0,,1350.0,7155,1658,839,3569.0,16
2020,8,212.0,144.0,3915.0,923,560.0,6299,19,81,0.0,246.0,230.0,2164.0,,1213.0,7114,1499,816,3585.0,16
2020,9,,0.0,660.0,351,28.0,1859,19,28,0.0,61.0,80.0,62.0,,88.0,4820,503,137,1567.0,0
2020,10,0.0,0.0,72.0,66,8.0,170,0,0,0.0,,0.0,,,22.0,2966,34,19,23.0,0
2020,11,0.0,0.0,10.0,28,8.0,40,0,0,0.0,,0.0,,,9.0,965,14,13,,0
2020,12,0.0,0.0,11.0,26,8.0,37,0,0,0.0,,0.0,,,,173,14,13,,0
2021,1,0.0,0.0,11.0,25,8.0,33,0,0,0.0,,0.0,,,,35,14,13,,0
2021,2,0.0,0.0,11.0,16,8.0,33,0,0,0.0,,0.0,,,6.0,35,9,13,,0
2021,3,0.0,0.0,12.0,16,16.0,33,0,0,0.0,,0.0,,,7.0,35,9,13,,0
2021,4,0.0,0.0,30.0,16,14.0,41,18,0,0.0,,24.0,,,10.0,169,9,18,,0
2021,5,53.0,113.0,770.0,447,43.0,749,25,27,0.0,31.0,147.0,193.0,,239.0,3726,134,235,595.0,0
2021,6,535.0,255.0,4653.0,1009,504.0,6829,25,98,13.0,340.0,334.0,2788.0,9.0,1307.0,7440,1639,747,3623.0,18
2021,7,571.0,252.0,4784.0,1065,570.0,6726,24,100,12.0,398.0,390.0,2967.0,12.0,1422.0,7669,1897,806,4006.0,18
2021,8,335.0,171.0,4609.0,960,548.0,6439,18,86,10.0,391.0,353.0,2674.0,12.0,1377.0,7534,1814,757,3896.0,17
2021,9,0.0,0.0,845.0,455,6.0,2670,18,43,8.0,58.0,122.0,103.0,12.0,232.0,5338,859,346,2254.0,0
2021,10,0.0,0.0,225.0,62,6.0,357,17,0,,,10.0,16.0,,31.0,3463,112,27,270.0,0
2021,11,0.0,0.0,13.0,16,6.0,19,0,0,0.0,,0.0,9.0,,9.0,1103,27,22,10.0,0
2021,12,0.0,0.0,11.0,10,6.0,16,0,0,0.0,,0.0,9.0,,8.0,103,0,23,7.0,0
2022,1,0.0,0.0,13.0,10,6.0,16,0,0,0.0,,0.0,9.0,,8.0,92,0,23,7.0,0
2022,2,0.0,0.0,13.0,10,8.0,16,0,0,0.0,,0.0,,,7.0,108,0,23,5.0,0
2022,3,0.0,0.0,14.0,12,14.0,16,0,0,0.0,,0.0,,,7.0,120,0,23,5.0,0
2022,4,0.0,0.0,34.0,56,16.0,51,11,0,0.0,7.0,24.0,12.0,8.0,12.0,166,0,23,5.0,0
2022,5,397.0,184.0,1800.0,885,214.0,2267,18,91,5.0,125.0,242.0,1376.0,8.0,760.0,4179,838,325,1664.0,13
2022,6,607.0,215.0,4766.0,1090,588.0,6858,19,111,8.0,441.0,386.0,2982.0,17.0,1276.0,7307,1591,539,4058.0,13
2022,7,609.0,209.0,4768.0,1081,631.0,6920,19,106,16.0,438.0,384.0,2954.0,16.0,1341.0,7386,1749,539,4185.0,13
2022,8,275.0,158.0,4163.0,983,539.0,6040,19,101,13.0,436.0,284.0,2586.0,14.0,1283.0,7137,1958,483,4180.0,13
2022,9,0.0,,638.0,336,6.0,2205,19,37,7.0,52.0,102.0,68.0,11.0,197.0,4854,527,172,2042.0,0
2022,10,0.0,,88.0,92,5.0,403,20,13,0.0,6.0,0.0,9.0,5.0,58.0,3464,24,42,258.0,0
2022,11,0.0,,,15,,25,0,0,0.0,6.0,0.0,,,7.0,1657,23,6,44.0,0
2022,12,0.0,,,13,,17,0,0,0.0,6.0,0.0,,,7.0,238,0,6,18.0,0
2023,1,0.0,,,12,,17,0,0,0.0,6.0,0.0,,,8.0,157,0,6,18.0,0
2023,2,0.0,,,7,,17,0,0,0.0,6.0,0.0,,,8.0,172,0,6,18.0,0
2023,3,0.0,,17.0,8,11.0,17,0,0,0.0,6.0,0.0,,,8.0,182,0,6,26.0,0
2023,4,0.0,0.0,47.0,8,12.0,62,0,0,0.0,6.0,,9.0,,8.0,328,0,27,25.0,0
2023,5,177.0,178.0,1415.0,716,206.0,1945,0,41,5.0,93.0,199.0,805.0,,795.0,4296,691,259,975.0,0
2023,6,584.0,218.0,4427.0,942,577.0,6241,24,86,14.0,410.0,278.0,2845.0,,1195.0,7120,1673,492,3187.0,9
2023,7,579.0,215.0,4529.0,959,604.0,6030,15,93,14.0,424.0,408.0,2847.0,,1235.0,7225,1701,541,3333.0,9
