year,month,ai,ar,be,fl,fr,gl,gr,ju,lu,ne,nw,ow,sg,sz,ti,ur,vd,vs
2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,0.0,0.0
2020,5,0.0,0.0,9.0,,,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,5.0,11.0,0.0,0.0,0.0
2020,6,5.0,,34.0,0.0,9.0,9.0,31.0,0.0,,0.0,0.0,,13.0,14.0,14.0,,17.0,10.0
2020,7,,6.0,25.0,,13.0,,38.0,0.0,,0.0,,8.0,21.0,12.0,9.0,9.0,,5.0
2020,8,,,66.0,0.0,5.0,6.0,102.0,,,0.0,,0.0,8.0,17.0,25.0,8.0,14.0,5.0
2020,9,0.0,,37.0,0.0,12.0,,37.0,0.0,,7.0,0.0,5.0,16.0,24.0,13.0,24.0,10.0,27.0
2020,10,0.0,0.0,5.0,0.0,17.0,,31.0,0.0,0.0,0.0,,0.0,,,54.0,,,20.0
2020,11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,,0.0
2020,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0
2021,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021,2,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
2021,5,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,,8.0,0.0,0.0,0.0
2021,6,,,23.0,0.0,25.0,,19.0,0.0,,0.0,,0.0,11.0,,32.0,,9.0,0.0
2021,7,,,33.0,0.0,6.0,,39.0,,0.0,,0.0,,7.0,6.0,32.0,5.0,12.0,5.0
2021,8,0.0,6.0,44.0,0.0,24.0,22.0,81.0,6.0,,0.0,5.0,,14.0,12.0,16.0,13.0,6.0,80.0
2021,9,0.0,,40.0,,14.0,11.0,25.0,0.0,,0.0,,10.0,11.0,17.0,50.0,15.0,6.0,34.0
2021,10,0.0,0.0,10.0,,17.0,0.0,18.0,,0.0,0.0,0.0,,11.0,5.0,23.0,18.0,0.0,25.0
2021,11,0.0,0.0,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,36.0,,0.0,
2021,12,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,
2022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2022,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,4,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,0.0,0.0,0.0
2022,5,0.0,0.0,,0.0,13.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,,5.0,16.0,6.0,,0.0
2022,6,6.0,5.0,53.0,0.0,6.0,,21.0,0.0,,0.0,,7.0,24.0,17.0,31.0,14.0,8.0,
2022,7,9.0,,34.0,0.0,19.0,18.0,51.0,0.0,0.0,0.0,,,27.0,9.0,50.0,,6.0,9.0
2022,8,,,37.0,,19.0,12.0,23.0,0.0,10.0,0.0,,7.0,46.0,23.0,39.0,,17.0,6.0
2022,9,,0.0,39.0,0.0,,11.0,58.0,0.0,0.0,0.0,,6.0,26.0,11.0,83.0,29.0,14.0,40.0
2022,10,0.0,0.0,5.0,0.0,24.0,,32.0,0.0,,,0.0,0.0,0.0,9.0,44.0,9.0,0.0,22.0
2022,11,0.0,0.0,9.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,55.0,0.0,0.0,11.0
2022,12,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,,0.0,0.0
2023,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2023,5,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,,0.0,14.0,0.0,,
2023,6,,11.0,47.0,0.0,,12.0,26.0,0.0,0.0,0.0,0.0,,9.0,9.0,28.0,6.0,,30.0
2023,7,,,23.0,0.0,6.0,,17.0,9.0,,0.0,0.0,6.0,18.0,6.0,14.0,,5.0,5.0
