year,month,deaths
2020,1,
2020,2,
2020,3,0.0
2020,4,34.0
2020,5,39.0
2020,6,167.0
2020,7,162.0
2020,8,265.0
2020,9,218.0
2020,10,137.0
2020,11,48.0
2020,12,12.0
2021,1,5.0
2021,2,7.0
2021,3,0.0
2021,4,33.0
2021,5,22.0
2021,6,131.0
2021,7,155.0
2021,8,335.0
2021,9,241.0
2021,10,131.0
2021,11,60.0
2021,12,24.0
2022,1,10.0
2022,2,5.0
2022,3,0.0
2022,4,30.0
2022,5,72.0
2022,6,201.0
2022,7,238.0
2022,8,247.0
2022,9,325.0
2022,10,151.0
2022,11,98.0
2022,12,82.0
2023,1,5.0
2023,2,
2023,3,
2023,4,
2023,5,34.0
2023,6,189.0
2023,7,123.0
