year,month,male,female
2020,1,7,73
2020,2,13,90
2020,3,21,97
2020,4,44,343
2020,5,1390,14479
2020,6,2684,28712
2020,7,2693,29112
2020,8,2476,26563
2020,9,898,9369
2020,10,238,3149
2020,11,72,1026
2020,12,28,269
2021,1,25,129
2021,2,29,113
2021,3,36,116
2021,4,58,302
2021,5,727,6803
2021,6,2925,29241
2021,7,3136,30553
2021,8,2995,29006
2021,9,1279,12090
2021,10,381,4222
2021,11,104,1135
2021,12,19,179
2022,1,18,171
2022,2,26,172
2022,3,42,177
2022,4,63,362
2022,5,1492,13899
2022,6,3094,29778
2022,7,3156,30208
2022,8,2930,27735
2022,9,1106,10168
2022,10,398,4090
2022,11,119,1679
2022,12,28,292
2023,1,26,213
2023,2,43,206
2023,3,59,229
2023,4,56,482
2023,5,1234,11565
2023,6,2728,27597
2023,7,2780,27984
