year,month,dairy_goat,other_goat,not_defined
2020,1,0,0.0,79
2020,2,9,,92
2020,3,10,11.0,96
2020,4,22,125.0,239
2020,5,4533,2872.0,8463
2020,6,8665,5822.0,16908
2020,7,8725,5926.0,17153
2020,8,7978,5468.0,15592
2020,9,2329,1863.0,6074
2020,10,842,638.0,1906
2020,11,360,193.0,544
2020,12,15,98.0,183
2021,1,12,24.0,117
2021,2,6,25.0,110
2021,3,7,26.0,118
2021,4,11,164.0,184
2021,5,2876,1351.0,3302
2021,6,10986,7373.0,13807
2021,7,11354,7716.0,14619
2021,8,10642,7419.0,13940
2021,9,4148,2870.0,6351
2021,10,1526,942.0,2135
2021,11,247,397.0,595
2021,12,22,87.0,89
2022,1,19,86.0,84
2022,2,14,86.0,98
2022,3,16,87.0,116
2022,4,95,121.0,209
2022,5,6547,2687.0,6156
2022,6,13553,6072.0,13246
2022,7,13702,6167.0,13494
2022,8,12522,5805.0,12337
2022,9,4295,2135.0,4843
2022,10,1822,723.0,1942
2022,11,814,252.0,732
2022,12,78,62.0,180
2023,1,55,60.0,124
2023,2,53,58.0,138
2023,3,56,61.0,171
2023,4,260,66.0,212
2023,5,5734,1960.0,5105
2023,6,13524,5046.0,11755
2023,7,13711,5069.0,11984
