year,month,total
2020,1,80
2020,2,103
2020,3,118
2020,4,387
2020,5,15869
2020,6,31396
2020,7,31805
2020,8,29039
2020,9,10267
2020,10,3387
2020,11,1098
2020,12,297
2021,1,154
2021,2,142
2021,3,152
2021,4,360
2021,5,7530
2021,6,32166
2021,7,33689
2021,8,32001
2021,9,13369
2021,10,4603
2021,11,1239
2021,12,198
2022,1,189
2022,2,198
2022,3,219
2022,4,425
2022,5,15391
2022,6,32872
2022,7,33364
2022,8,30665
2022,9,11274
2022,10,4488
2022,11,1798
2022,12,320
2023,1,239
2023,2,249
2023,3,288
2023,4,538
2023,5,12799
2023,6,30325
2023,7,30764
