owner_language,name,rank_language,count_language,rank_overall,count_total
de,Luna,1,342,1,391
it,Luna,5,28,1,391
fr,Bella,2,37,2,339
de,Bella,3,285,2,339
de,Flöckli,2,332,3,338
de,Sina,4,256,4,267
de,Lisa,5,242,5,265
it,Nera,1,188,6,254
de,Mia,6,232,6,254
de,Tina,8,212,8,245
de,Nora,7,221,10,244
de,Emma,10,205,11,230
de,Flora,10,205,11,230
de,Fiona,9,208,13,224
de,Lena,10,205,15,216
it,Bianca,2,52,16,212
fr,Stella,8,29,19,204
it,Stella,9,20,19,204
fr,Noisette,1,44,200,48
it,Nazza,3,46,202,47
fr,Blanchette,2,37,257,38
fr,Brunette,2,37,257,38
fr,Clochette,5,36,262,37
fr,Prune,6,35,272,36
it,Nerina,4,29,304,32
fr,Capucine,8,29,315,31
fr,Myrtille,7,30,323,30
fr,Biquette,8,29,323,30
it,Ignazza,5,28,352,28
it,Bianchina,7,25,370,27
it,Frisa,8,21,494,21
it,Rossa,10,19,494,21
