owner_language,name,rank_language,count_language,rank_overall,count_total
de,Max,1,170,1,180
fr,Max,4,8,1,180
de,Moritz,2,114,2,114
de,Leo,3,97,3,101
de,Sämi,4,70,4,72
fr,Rocky,3,9,5,67
de,Rocky,5,56,5,67
it,Nero,1,21,6,62
de,Tom,6,55,7,58
de,Charly,7,53,8,56
de,Bruno,8,50,9,54
de,Felix,9,45,10,47
fr,Nino,10,5,11,45
de,Emil,10,44,12,44
de,Köbi,10,44,12,44
de,Seppli,10,44,12,44
fr,Jack,10,5,31,28
fr,Zorro,6,7,34,27
fr,Billy,8,6,42,25
fr,Oli,2,10,54,22
it,Bianco,2,7,122,12
fr,Flocon,1,11,143,11
fr,Caramel,6,7,143,11
fr,Bounty,8,6,163,10
fr,Domino,4,8,185,9
fr,César,10,5,296,6
fr,Loulou,10,5,353,5
fr,Roméo,10,5,353,5
