year,month,dairy_goat,other_goat,not_defined,total
2020,1,5447,2214,94857,103004
2020,2,13493,7038,97840,118857
2020,3,18547,12287,94024,125339
2020,4,20080,14433,84668,119660
2020,5,20257,15190,79487,115413
2020,6,20259,15311,76289,112338
2020,7,20218,15310,74630,110636
2020,8,20358,15220,72948,109001
2020,9,20440,15038,71019,106972
2020,10,20847,14895,68664,104880
2020,11,20775,14758,66047,102054
2020,12,21088,14897,65182,101642
2021,1,22445,15719,72821,111459
2021,2,25084,17808,82448,125811
2021,3,27104,20327,78181,126082
2021,4,27694,21708,76922,126786
2021,5,27615,22034,72515,122623
2021,6,27387,22070,69266,119175
2021,7,27199,21976,67176,116801
2021,8,26959,21647,65687,114743
2021,9,26685,21251,64204,112589
2021,10,26394,20795,62064,109700
2021,11,25919,20252,59109,105727
2021,12,26098,19658,58268,104470
2022,1,27135,19392,66549,113529
2022,2,29475,19991,78873,128782
2022,3,31482,21059,83832,136787
2022,4,31988,21568,74151,128111
2022,5,32006,21410,70059,123844
2022,6,31900,20971,66890,120099
2022,7,31652,20795,65240,117990
2022,8,31440,20466,63499,115699
2022,9,31106,19825,61394,112618
2022,10,30649,19165,59008,109105
2022,11,30142,18651,56143,105205
2022,12,29874,18378,55252,103752
2023,1,30218,18480,62533,111472
2023,2,31804,19034,74910,125986
2023,3,33658,20363,77552,131804
2023,4,33843,20804,72444,127317
2023,5,33406,20618,66721,120967
2023,6,32914,20205,63022,116360
2023,7,32517,19786,60622,113140
