year,month,total
2020,1,384730
2020,2,419708
2020,3,452633
2020,4,461420
2020,5,458383
2020,6,447393
2020,7,434640
2020,8,420594
2020,9,404180
2020,10,409843
2020,11,409988
2020,12,411283
2021,1,425911
2021,2,451757
2021,3,474772
2021,4,487506
2021,5,482651
2021,6,471309
2021,7,456440
2021,8,439456
2021,9,419825
2021,10,424474
2021,11,421338
2021,12,420027
2022,1,436566
2022,2,462069
2022,3,492005
2022,4,499803
2022,5,496173
2022,6,482893
2022,7,467459
2022,8,448468
2022,9,426911
2022,10,430242
2022,11,428801
2022,12,425397
2023,1,437015
2023,2,465934
2023,3,485823
2023,4,493958
2023,5,486693
2023,6,468362
2023,7,452582
