name,count,rank,year,owner_language
Schwarz,228,1,2020,__all__
Weiss,206,2,2020,__all__
Luna,141,3,2020,__all__
Nina,123,4,2020,__all__
Sina,117,5,2020,__all__
Lisa,113,6,2020,__all__
Mia,107,7,2020,__all__
Anna,107,7,2020,__all__
Tina,106,9,2020,__all__
Bella,103,10,2020,__all__
Schwarz,265,1,2021,__all__
Weiss,260,2,2021,__all__
Luna,148,3,2021,__all__
Bella,147,4,2021,__all__
Lisa,138,5,2021,__all__
Lara,137,6,2021,__all__
Sina,135,7,2021,__all__
Nina,128,8,2021,__all__
Anna,126,9,2021,__all__
Lina,114,10,2021,__all__
Luna,145,1,2022,__all__
Bella,132,2,2022,__all__
Sina,124,3,2022,__all__
Fiona,117,4,2022,__all__
Anna,115,5,2022,__all__
Lisa,115,5,2022,__all__
Lara,111,7,2022,__all__
Tina,108,8,2022,__all__
Mia,106,9,2022,__all__
Susi,103,10,2022,__all__
Luna,91,1,2023,__all__
Lara,86,2,2023,__all__
Anna,85,3,2023,__all__
Lena,74,4,2023,__all__
Lina,74,4,2023,__all__
Nina,74,4,2023,__all__
Fiona,72,7,2023,__all__
Emma,71,8,2023,__all__
Bella,67,9,2023,__all__
Lea,66,10,2023,__all__
Schwarz,220,1,2020,de
Weiss,206,2,2020,de
Luna,124,3,2020,de
Sina,114,4,2020,de
Nina,110,5,2020,de
Lisa,106,6,2020,de
Anna,99,7,2020,de
Susi,95,8,2020,de
Mia,95,8,2020,de
Tina,91,10,2020,de
Schwarz,265,1,2021,de
Weiss,260,2,2021,de
Sina,130,3,2021,de
Luna,130,3,2021,de
Lara,129,5,2021,de
Lisa,128,6,2021,de
Bella,123,7,2021,de
Anna,116,8,2021,de
Nina,115,9,2021,de
Lina,112,10,2021,de
Luna,135,1,2022,de
Sina,120,2,2022,de
Anna,111,3,2022,de
Fiona,110,4,2022,de
Lisa,109,5,2022,de
Bella,108,6,2022,de
Tina,106,7,2022,de
Lara,104,8,2022,de
Susi,99,9,2022,de
Lea,97,10,2022,de
Luna,86,1,2023,de
Lara,84,2,2023,de
Anna,80,3,2023,de
Lena,74,4,2023,de
Lina,70,5,2023,de
Fiona,70,5,2023,de
Emma,68,7,2023,de
Lea,65,8,2023,de
Nina,64,9,2023,de
Susi,64,9,2023,de
Pit,11,1,2020,fr
Blanche,11,1,2020,fr
Noir,9,3,2020,fr
Fleur,9,3,2020,fr
Bella,9,3,2020,fr
Surprise,8,6,2020,fr
Cannelle,8,6,2020,fr
Nina,7,8,2020,fr
Bianca,7,8,2020,fr
Capucine,7,8,2020,fr
Bella,15,1,2021,fr
Rose,11,2,2021,fr
Neige,11,2,2021,fr
Fleur,11,2,2021,fr
Lili,10,5,2021,fr
Lila,9,6,2021,fr
Mirabelle,9,6,2021,fr
Pistache,9,6,2021,fr
Brunette,9,6,2021,fr
Pomme,9,6,2021,fr
Bella,17,1,2022,fr
Noisette,14,2,2022,fr
Mirabelle,12,3,2022,fr
Capucine,10,4,2022,fr
Tulipe,10,4,2022,fr
Fleur,10,4,2022,fr
Etoile,10,4,2022,fr
Cerise,10,4,2022,fr
Rose,9,9,2022,fr
Neige,8,10,2022,fr
Agneau,17,1,2023,fr
Brunette,9,2,2023,fr
Nina,9,2,2023,fr
Rose,9,2,2023,fr
Neige,8,5,2023,fr
Belle,8,5,2023,fr
Caline,7,7,2023,fr
Plume,7,7,2023,fr
Edelweiss,7,7,2023,fr
Choupette,7,7,2023,fr
Bianca,19,1,2020,it
Nera,10,2,2020,it
Bianca,19,1,2021,it
Luna,8,2,2021,it
Emma,6,3,2021,it
Teti,5,4,2021,it
Bella,7,1,2022,it
Teti,6,2,2022,it
Luna,6,2,2022,it
Rosa,5,4,2022,it
Gioia,5,4,2022,it
Entropio,7,1,2023,it
Stella,6,2,2023,it
