year,month,zone_valley,zone_hills,zone_mountain01,zone_mountain02,zone_mountain03,zone_mountain04,zone_summering,zone_unknown,zone_summering_ausland
2020,1,123346,49506,46481,54540,50619,36640,257,23341,0
2020,2,136683,54160,51068,59081,53113,39877,230,25496,0
2020,3,146612,58337,53452,63641,58638,44576,237,27140,0
2020,4,149879,58849,53933,64809,59808,45022,1355,27765,0
2020,5,134020,52591,47895,57861,47111,32366,58987,27552,0
2020,6,102449,42261,37757,40641,23422,15443,160439,24956,25
2020,7,96229,40432,35947,38506,20187,13406,165710,24198,25
2020,8,93719,39280,34604,37486,20594,12966,158642,23278,25
2020,9,119405,47969,44750,54273,41244,25173,46551,24815,0
2020,10,134399,52674,47904,58367,51431,35248,3861,25959,0
2020,11,135560,52976,47287,57873,51839,36572,300,27581,0
2020,12,136823,50084,48237,58754,51894,36446,215,28830,0
2021,1,142568,52142,50640,60839,53057,36775,309,29581,0
2021,2,151214,56106,54381,63965,55374,39036,309,31372,0
2021,3,156848,60814,56109,67036,60021,43120,243,30581,0
2021,4,160173,63089,56692,68603,62039,44297,1262,31351,0
2021,5,152441,61115,53389,67326,52309,37735,27584,30752,0
2021,6,106949,42952,40545,44610,29487,18662,160741,27363,0
2021,7,97386,40531,38325,40969,24486,12064,176985,25694,0
2021,8,92989,38723,37460,39852,23853,12084,169238,25257,0
2021,9,118539,48892,44929,51935,39938,22110,66503,26979,0
2021,10,140998,54276,48932,62271,51555,34854,4654,26934,0
2021,11,141653,53146,48042,60864,52103,36308,1245,27977,0
2021,12,139144,52362,47979,59956,52638,36894,851,30203,0
2022,1,144874,55667,50848,61973,54116,37910,253,30925,0
2022,2,155989,59147,54122,64908,56664,40086,234,30919,0
2022,3,163313,64141,57802,70257,61947,44722,233,29590,0
2022,4,165442,65186,57176,71038,63280,45543,1784,30354,0
2022,5,149760,60963,53286,63715,50780,32663,53956,31050,0
2022,6,106587,43650,41071,44180,27327,14898,178596,26584,0
2022,7,100036,41308,39260,42199,24948,12597,182994,24117,0
2022,8,96490,39905,38113,41096,24574,12662,171872,23756,0
2022,9,126144,53743,46845,55876,41119,24985,52258,25941,0
2022,10,143335,56769,49155,61427,52999,35293,5166,26098,0
2022,11,145596,55870,48295,60706,52781,36626,1207,27720,0
2022,12,142260,53268,48188,59285,52414,36736,420,32826,0
2023,1,147504,54641,50181,60148,53020,37380,520,33621,0
2023,2,157749,57515,53948,64873,55782,39777,516,35774,0
2023,3,162377,62250,57587,68449,60830,43520,335,30475,0
2023,4,162983,64314,58237,69309,61949,44495,1814,30857,0
2023,5,147815,60990,53249,64593,48627,32739,48416,30264,0
2023,6,101822,42456,40346,42336,26840,16402,172382,25778,0
2023,7,95746,40164,38180,39697,23376,12768,178737,23914,0
