year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2020,1,2102,433,585,6433,577,0.0,1604,119.0,297,2405,557,2424,107.0,479,249,4141,282,1055,1689,1645,1195.0,389,1462,1110,540,1767,0.0
2020,2,2839,325,796,8371,849,0.0,2562,174.0,434,3808,888,2638,248.0,361,257,3809,290,1007,1983,2546,1102.0,723,3143,3699,592,2086,0.0
2020,3,2424,422,763,8900,1051,0.0,2379,151.0,619,5300,514,2758,395.0,371,317,3896,151,1224,1798,2604,1367.0,858,1623,9128,351,2427,0.0
2020,4,1991,203,582,4936,488,,1087,143.0,230,3124,347,2065,149.0,273,209,3498,167,652,1462,1302,721.0,702,820,3170,334,1465,5.0
2020,5,1009,98,202,2420,159,6.0,514,26.0,108,1488,187,1436,42.0,159,105,2236,120,452,801,859,396.0,324,401,865,152,808,0.0
2020,6,302,60,132,1004,77,0.0,349,25.0,39,324,148,516,33.0,27,33,662,76,191,220,477,46.0,121,98,247,87,449,0.0
2020,7,164,42,69,470,42,0.0,135,29.0,8,255,105,392,5.0,10,17,462,44,76,151,375,11.0,12,138,28,108,318,0.0
2020,8,111,81,80,436,19,,129,,45,207,89,392,8.0,19,7,640,18,72,190,805,69.0,26,226,47,92,241,0.0
2020,9,410,77,417,1451,87,0.0,360,0.0,88,1047,126,1105,,69,85,2392,46,183,936,718,206.0,276,172,689,149,1003,0.0
2020,10,794,234,460,3728,161,0.0,870,,196,4508,181,2078,65.0,427,364,4637,51,355,2923,1515,661.0,1214,942,3830,573,914,0.0
2020,11,1054,203,286,2919,99,0.0,908,8.0,228,4128,150,1762,13.0,462,204,3398,92,334,1641,927,1087.0,736,381,1185,650,703,0.0
2020,12,1516,237,661,3733,307,0.0,1244,35.0,192,2057,227,1995,79.0,345,214,3952,203,495,1761,1562,952.0,411,659,722,791,1632,0.0
2021,1,1784,430,824,5641,671,0.0,1851,129.0,434,1880,559,2541,75.0,235,271,4726,325,827,1718,1626,1193.0,441,1867,1464,737,1814,0.0
2021,2,3104,348,837,8109,1083,0.0,2159,332.0,398,3408,884,2613,245.0,426,216,3902,265,1317,1878,2794,1041.0,816,2752,4328,758,2133,0.0
2021,3,2727,344,1055,10180,802,,2561,411.0,601,5630,717,3510,364.0,372,370,4016,254,1251,2077,3095,1479.0,1021,2102,8261,719,2435,0.0
2021,4,1917,238,625,5874,544,0.0,1547,187.0,261,3544,469,2576,244.0,274,217,4257,74,862,1842,1441,933.0,773,1283,3939,658,1519,0.0
2021,5,961,156,351,3125,213,,751,94.0,116,1651,438,1192,73.0,203,141,2705,116,505,960,1040,416.0,370,569,1204,440,984,0.0
2021,6,276,124,146,979,73,,270,53.0,43,442,196,616,16.0,48,19,914,134,179,456,556,165.0,129,220,357,122,432,6.0
2021,7,159,42,100,501,34,,163,18.0,10,166,69,411,,17,14,488,46,73,165,327,26.0,31,70,32,70,308,0.0
2021,8,138,42,95,581,44,,149,18.0,34,216,45,380,7.0,22,28,726,35,83,131,352,127.0,51,94,38,39,334,
2021,9,297,51,322,1009,63,0.0,496,25.0,104,921,55,953,,69,62,2177,70,180,591,806,69.0,123,141,718,90,724,0.0
2021,10,683,206,744,3591,99,,868,42.0,289,3774,181,2352,56.0,367,331,4890,62,612,2541,2065,706.0,1085,845,3323,501,950,0.0
2021,11,944,170,379,2764,98,0.0,860,22.0,179,4241,166,1646,77.0,404,162,2979,84,376,1913,949,978.0,715,416,1460,648,1043,0.0
2021,12,1421,285,483,3671,340,0.0,1020,66.0,198,2553,222,2136,29.0,414,199,4048,148,428,1906,1451,1279.0,619,671,763,817,1171,0.0
2022,1,1802,444,878,6045,637,0.0,1909,248.0,375,2411,717,2432,123.0,338,260,4639,266,793,1841,2110,1076.0,549,2105,1994,831,1887,0.0
2022,2,3006,246,864,8174,904,0.0,2527,552.0,404,3420,849,2624,260.0,390,381,4318,284,1182,1758,2522,1168.0,784,2911,3764,648,1876,0.0
2022,3,2656,248,986,11203,885,6.0,2131,316.0,605,5378,644,3453,433.0,237,391,4581,211,1128,2389,2961,1476.0,1144,1891,7937,763,2201,0.0
2022,4,2212,238,752,5619,571,,1954,127.0,308,3267,593,2347,158.0,177,283,3775,167,891,1713,1625,740.0,641,1065,4089,432,1901,0.0
