year,month,dairy_sheep,other_sheep
2020,1,1632,31846
2020,2,3203,42302
2020,3,2159,49344
2020,4,1304,28724
2020,5,373,14984
2020,6,292,5427
2020,7,547,2912
2020,8,1005,3044
2020,9,2225,9861
2020,10,1256,30414
2020,11,1234,22303
2020,12,1927,24048
2021,1,2586,31434
2021,2,3177,42934
2021,3,2640,53670
2021,4,1515,34560
2021,5,779,17972
2021,6,467,6477
2021,7,475,2862
2021,8,825,2986
2021,9,1963,8136
2021,10,1607,29539
2021,11,1184,22465
2021,12,1803,24519
2022,1,3270,33393
2022,2,3026,42757
2022,3,2861,53350
2022,4,1988,33604
2022,5,927,18284
2022,6,803,5278
2022,7,751,2850
2022,8,864,2549
2022,9,1489,7900
2022,10,1947,28250
2022,11,1662,22159
2022,12,2016,20935
2023,1,3449,29250
2023,2,3848,45437
2023,3,2638,51721
2023,4,1798,31187
2023,5,570,15728
2023,6,790,4792
2023,7,415,1871
