year,month,male,female
2020,1,15844,17802
2020,2,21701,23829
2020,3,24655,27136
2020,4,14266,15862
2020,5,7260,8113
2020,6,2738,3005
2020,7,1759,1707
2020,8,1766,2291
2020,9,5971,6124
2020,10,15255,16428
2020,11,11395,12163
2020,12,12689,13293
2021,1,16638,17425
2021,2,22316,23830
2021,3,27417,28939
2021,4,17228,18870
2021,5,8935,9843
2021,6,3207,3767
2021,7,1576,1769
2021,8,1801,2012
2021,9,4927,5192
2021,10,15181,15983
2021,11,11598,12075
2021,12,12671,13667
2022,1,17647,19063
2022,2,22406,23410
2022,3,27048,29206
2022,4,17054,18593
2022,5,9147,10085
2022,6,2777,3323
2022,7,1696,1911
2022,8,1719,1695
2022,9,4579,4822
2022,10,14818,15407
2022,11,11821,12039
2022,12,11275,11711
2023,1,15943,16831
2023,2,24213,25159
2023,3,26370,28142
2023,4,15663,17393
2023,5,7663,8672
2023,6,2500,3089
2023,7,956,1331
