year,month,1,2,3,total
2020,1,11523,9682,829,22053
2020,2,14312,13213,1492,29020
2020,3,16502,14584,1850,32948
2020,4,10578,8052,1059,19699
2020,5,6207,3887,411,10506
2020,6,2126,1505,187,3822
2020,7,1118,1019,99,2236
2020,8,1083,1272,140,2496
2020,9,3359,3657,462,7479
2020,10,10693,9217,776,20687
2020,11,8996,6623,419,16039
2020,12,9927,7175,532,17635
2021,1,12029,9674,829,22535
2021,2,14786,13561,1366,29715
2021,3,17686,16205,1981,35875
2021,4,12431,9704,1313,23448
2021,5,6999,4979,561,12540
2021,6,2598,1802,237,4640
2021,7,1244,924,81,2250
2021,8,1207,1053,158,2418
2021,9,2773,2924,450,6148
2021,10,10079,9203,845,20127
2021,11,8785,6661,500,15947
2021,12,9847,7379,527,17753
2022,1,12742,10483,933,24159
2022,2,14829,13470,1314,29614
2022,3,17340,16484,1906,35732
2022,4,12378,9678,1249,23307
2022,5,7126,5051,626,12804
2022,6,2300,1611,184,4095
2022,7,1257,986,121,2364
2022,8,1053,955,146,2154
2022,9,2809,2769,344,5922
2022,10,9984,8828,828,19641
2022,11,9320,6520,489,16329
2022,12,8797,6359,479,15635
2023,1,11912,9256,749,21918
2023,2,15850,14329,1577,31757
2023,3,17128,15754,1897,34779
2023,4,11045,9157,1168,21370
2023,5,5664,4438,569,10671
2023,6,1966,1540,174,3680
2023,7,759,650,73,1482
