year,month,total
2020,1,33646
2020,2,45530
2020,3,51791
2020,4,30128
2020,5,15373
2020,6,5743
2020,7,3466
2020,8,4057
2020,9,12095
2020,10,31683
2020,11,23558
2020,12,25982
2021,1,34063
2021,2,46146
2021,3,56356
2021,4,36098
2021,5,18778
2021,6,6974
2021,7,3345
2021,8,3813
2021,9,10119
2021,10,31164
2021,11,23673
2021,12,26338
2022,1,36710
2022,2,45816
2022,3,56254
2022,4,35647
2022,5,19232
2022,6,6100
2022,7,3607
2022,8,3414
2022,9,9401
2022,10,30225
2022,11,23860
2022,12,22986
2023,1,32774
2023,2,49372
2023,3,54512
2023,4,33056
2023,5,16335
2023,6,5589
2023,7,2287
