year,month,breed,n_animals
2020,1,Bergamasca,
2020,2,Bergamasca,
2020,3,Bergamasca,
2020,4,Bergamasca,
2020,5,Bergamasca,
2020,6,Bergamasca,
2020,7,Bergamasca,
2020,8,Bergamasca,
2020,9,Bergamasca,
2020,10,Bergamasca,
2020,11,Bergamasca,
2020,12,Bergamasca,
2021,1,Bergamasca,
2021,2,Bergamasca,
2021,3,Bergamasca,
2021,4,Bergamasca,
2021,5,Bergamasca,
2021,6,Bergamasca,
2021,7,Bergamasca,
2021,8,Bergamasca,
2021,9,Bergamasca,
2021,10,Bergamasca,
2021,11,Bergamasca,
2021,12,Bergamasca,
2022,1,Bergamasca,
2022,2,Bergamasca,
2022,3,Bergamasca,
2022,4,Bergamasca,
2022,5,Bergamasca,
2022,6,Bergamasca,
2022,7,Bergamasca,
2022,8,Bergamasca,
2022,9,Bergamasca,
2022,10,Bergamasca,
2022,11,Bergamasca,
2022,12,Bergamasca,
2023,1,Bergamasca,
2023,2,Bergamasca,
2023,3,Bergamasca,
2023,4,Bergamasca,
2023,5,Bergamasca,6.0
2023,6,Bergamasca,6.0
2023,7,Bergamasca,5.0
2020,1,Berrichon_du_Cher,15.0
2020,2,Berrichon_du_Cher,16.0
2020,3,Berrichon_du_Cher,16.0
2020,4,Berrichon_du_Cher,16.0
2020,5,Berrichon_du_Cher,16.0
2020,6,Berrichon_du_Cher,16.0
2020,7,Berrichon_du_Cher,16.0
2020,8,Berrichon_du_Cher,16.0
2020,9,Berrichon_du_Cher,17.0
2020,10,Berrichon_du_Cher,19.0
2020,11,Berrichon_du_Cher,19.0
2020,12,Berrichon_du_Cher,20.0
2021,1,Berrichon_du_Cher,20.0
2021,2,Berrichon_du_Cher,20.0
2021,3,Berrichon_du_Cher,20.0
2021,4,Berrichon_du_Cher,21.0
2021,5,Berrichon_du_Cher,24.0
2021,6,Berrichon_du_Cher,26.0
2021,7,Berrichon_du_Cher,27.0
2021,8,Berrichon_du_Cher,33.0
2021,9,Berrichon_du_Cher,35.0
2021,10,Berrichon_du_Cher,42.0
2021,11,Berrichon_du_Cher,66.0
2021,12,Berrichon_du_Cher,159.0
2022,1,Berrichon_du_Cher,225.0
2022,2,Berrichon_du_Cher,264.0
2022,3,Berrichon_du_Cher,350.0
2022,4,Berrichon_du_Cher,423.0
2022,5,Berrichon_du_Cher,453.0
2022,6,Berrichon_du_Cher,451.0
2022,7,Berrichon_du_Cher,436.0
2022,8,Berrichon_du_Cher,446.0
2022,9,Berrichon_du_Cher,435.0
2022,10,Berrichon_du_Cher,466.0
2022,11,Berrichon_du_Cher,508.0
2022,12,Berrichon_du_Cher,577.0
2023,1,Berrichon_du_Cher,717.0
2023,2,Berrichon_du_Cher,875.0
2023,3,Berrichon_du_Cher,976.0
2023,4,Berrichon_du_Cher,1017.0
2023,5,Berrichon_du_Cher,982.0
2023,6,Berrichon_du_Cher,974.0
2023,7,Berrichon_du_Cher,886.0
2020,1,Blackheaded_Meat_Sheep,
2020,2,Blackheaded_Meat_Sheep,
2020,3,Blackheaded_Meat_Sheep,
2020,4,Blackheaded_Meat_Sheep,
2020,5,Blackheaded_Meat_Sheep,
2020,6,Blackheaded_Meat_Sheep,
2020,7,Blackheaded_Meat_Sheep,
2020,8,Blackheaded_Meat_Sheep,
2020,9,Blackheaded_Meat_Sheep,
2020,10,Blackheaded_Meat_Sheep,
2020,11,Blackheaded_Meat_Sheep,
2020,12,Blackheaded_Meat_Sheep,
2021,1,Blackheaded_Meat_Sheep,
2021,2,Blackheaded_Meat_Sheep,
2021,3,Blackheaded_Meat_Sheep,
