year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2020,1,19466,2961,7426,57724,5716,82,14782,1883,2939,39011,5055,25649,2012,3843,2821,43181,2603,9172,20161,19356,11786,7090,16089,36526,8618,18744,34
2020,2,21813,3260,8080,64443,6463,84,17258,2047,3289,41466,5860,27064,2195,4041,2924,45918,2829,10094,21421,21240,12890,7312,18825,39195,9149,20514,34
2020,3,23344,3534,8548,70289,7267,88,18756,2178,3729,44112,6201,28415,2539,4024,3058,47830,2898,11036,21958,22761,13929,7700,19772,47030,9282,22321,34
2020,4,24498,3420,8708,72043,7551,95,18642,2307,3701,44135,6173,29063,2589,4052,3117,48904,3042,11294,21882,23125,13983,8257,20396,48352,9121,22931,39
2020,5,22750,3674,8408,71592,7213,101,19614,2286,4728,46192,5661,28754,2457,3917,3134,46172,3062,10038,22123,22112,13857,10788,20386,49034,7901,22390,39
2020,6,17925,3780,7607,70434,6362,101,18868,2207,5735,57958,5508,23834,2242,3632,3028,41847,2768,8553,21026,16801,14602,17617,20337,49093,6265,19224,39
2020,7,17016,3661,7304,68148,5964,98,18101,2176,5575,58148,5428,22260,2202,3550,2933,40100,2654,7953,20226,15958,14641,17918,19785,48477,5965,18361,38
2020,8,16057,3542,6951,65579,5768,101,17345,2116,5371,56721,5201,21572,2112,3482,2814,38969,2504,7649,19713,16020,14540,17338,18770,46739,5907,17675,38
2020,9,19945,2826,7718,61163,6063,103,15352,2087,3118,44012,5043,25164,2059,3244,2538,42580,2630,9768,19886,19216,12358,7809,18772,43017,7822,19850,37
2020,10,20464,2922,7648,62266,6048,95,15801,2171,2934,38786,5422,27332,2142,3610,2811,46221,2558,10338,20976,21315,12637,6947,19149,40353,7686,21174,37
2020,11,20474,2883,7380,61623,5983,93,15875,2142,2910,39512,5277,28392,2082,3780,2800,47358,2474,9912,21408,21435,12533,7220,18322,39175,8103,20805,37
2020,12,20707,2932,7664,61415,5888,88,16357,2138,2910,39582,5211,28600,2112,3997,2968,47604,2484,9617,22082,22549,11919,7230,17704,38040,8339,21109,37
2021,1,21408,3189,7973,63879,6357,88,17487,2179,3168,40094,5630,29908,2118,4020,3081,50168,2664,10322,22604,22834,12896,7252,18510,37739,8562,21747,34
2021,2,23643,3342,8470,68689,7188,86,18902,2418,3466,41443,6347,31275,2296,4243,3065,51256,2815,11323,23291,23987,14080,7654,20385,40242,8767,23050,34
2021,3,24688,3459,8977,73890,7373,91,20322,2676,3790,43241,6710,31316,2540,4176,3283,51953,2971,11569,23174,25098,14998,8088,20789,46627,8890,24049,34
2021,4,25540,3472,9238,76399,7624,91,20636,3013,3800,44175,6880,31999,2677,4181,3275,52855,2967,12074,23467,25428,14980,8443,21394,49195,9223,24446,34
2021,5,24718,3538,8965,76211,7439,94,20508,2216,4020,43947,6504,31570,2682,4272,3180,51218,3000,12077,24092,24885,14695,8423,21479,48887,9010,24243,778
2021,6,18844,3909,7527,72025,6280,96,22493,1980,5969,59142,6278,25301,2418,3985,3146,44095,2760,9668,22892,18565,15106,16965,21732,51875,6882,20603,773
2021,7,17811,3735,7233,69077,5970,97,21466,1847,5778,59110,6080,24252,2370,3848,3150,42013,2710,9094,21985,17876,14947,18355,20971,51487,5531,18879,768
2021,8,16794,3506,6958,66462,5684,99,20643,1872,5581,57333,5926,23671,2299,3737,3077,39723,2622,8684,21254,16918,14811,17825,20085,49719,5285,18268,620
2021,9,19908,2729,7422,63779,6178,99,17066,1837,3304,45163,5742,25894,2260,3275,2672,44111,2531,10897,20759,19895,13535,9918,19090,44479,6901,19758,623
2021,10,21105,2755,7854,64899,6157,97,16938,1845,3175,38762,5996,28671,2320,3639,2858,48695,2517,11731,21740,22737,12447,6943,18833,41303,8042,21793,622
2021,11,20606,2648,7615,63508,5917,96,16769,1782,3066,39439,5801,29830,2229,3626,2892,48605,2470,11291,22173,22781,11902,7168,18179,39998,8675,21651,621
2021,12,20539,2760,7693,63060,5958,97,16471,1721,3041,40265,5660,30042,2261,3817,2914,48212,2469,11244,22092,23341,12066,7455,17634,39178,8438,20979,620
