year,month,new_tags,replacement_tags,nachmarkierung_tags
2020,1,183558,1722,69283
2020,2,104016,1409,34875
2020,3,79898,1770,21794
2020,4,50338,1748,11752
2020,5,40754,1983,8851
2020,6,23532,1326,4622
2020,7,13254,812,3442
2020,8,25412,1249,2436
2020,9,49288,1588,2993
2020,10,73502,1380,3721
2020,11,58910,2038,2931
2020,12,70282,1977,3762
2021,1,95172,2388,2242
2021,2,66730,1751,2539
2021,3,79852,2166,2101
2021,4,55704,2490,2091
2021,5,33358,2830,900
2021,6,27160,1423,419
2021,7,10170,1061,565
2021,8,23838,1273,327
2021,9,37372,1695,255
2021,10,68130,1677,804
2021,11,69360,1572,844
2021,12,67134,1694,892
2022,1,105798,2059,1265
2022,2,88108,2035,1030
2022,3,74474,2530,1092
2022,4,52076,3253,577
2022,5,36702,2819,271
2022,6,17786,2561,269
2022,7,13266,994,103
2022,8,22362,1489,223
2022,9,36790,1845,153
2022,10,62680,1545,252
2022,11,90588,1810,545
2022,12,97758,1604,433
2023,1,78588,1787,513
2023,2,74370,1972,495
2023,3,77708,2427,356
2023,4,43974,2936,430
2023,5,28170,2832,401
2023,6,14612,1320,82
2023,7,16602,1430,26
