year,month,median_animals_per_holding,n_sheep_holding,median_top10_percent_animals_per_holding,n_holding_median_top10_percent,median_bottom10_percent_animals_per_holding,n_holding_median_bottom10_percent
2020,1,14.0,11345.0,121.0,1149,2.0,844
2020,2,15.0,11411.0,129.0,1156,2.0,780
2020,3,16.0,11485.0,137.0,1163,2.0,705
2020,4,16.0,11691.0,136.0,1189,2.0,709
2020,5,15.0,11841.0,136.0,1193,2.0,824
2020,6,12.0,11724.0,134.5,1178,2.0,1028
2020,7,12.0,11721.0,127.5,1186,2.0,1066
2020,8,11.0,11715.0,126.0,1173,2.0,1084
2020,9,13.0,11895.0,119.0,1195,2.0,905
2020,10,13.0,11807.0,120.0,1194,2.0,857
2020,11,13.0,11704.0,125.0,1177,2.0,841
2020,12,13.0,11659.0,127.0,1167,2.0,830
2021,1,14.0,11673.0,132.0,1175,2.0,827
2021,2,16.0,11661.0,141.0,1180,2.0,775
2021,3,17.0,11700.0,144.0,1172,2.0,698
2021,4,17.0,11930.0,144.0,1195,2.0,684
2021,5,16.0,12099.0,141.0,1228,2.0,718
2021,6,13.0,11944.0,137.0,1208,2.0,909
2021,7,12.0,11913.0,133.0,1199,2.0,974
2021,8,12.0,11954.0,130.0,1202,2.0,1032
2021,9,13.0,12130.0,116.0,1233,2.0,885
2021,10,13.0,12017.0,123.0,1211,2.0,816
2021,11,13.0,11814.0,125.0,1199,2.0,768
2021,12,13.0,11727.0,128.0,1178,2.0,779
2022,1,14.0,11715.0,134.0,1175,2.0,765
2022,2,16.0,11689.0,143.0,1182,2.0,709
2022,3,17.0,11732.0,149.0,1185,2.0,650
2022,4,17.0,11949.0,148.0,1198,2.0,652
2022,5,16.0,12083.0,143.0,1215,2.0,746
2022,6,13.0,11930.0,139.0,1206,2.0,896
2022,7,13.0,11868.0,138.0,1191,2.0,918
2022,8,12.0,11820.0,134.0,1187,2.0,960
2022,9,13.0,12039.0,125.0,1214,2.0,849
2022,10,13.0,11931.0,124.0,1201,2.0,824
2022,11,13.0,11755.0,128.0,1177,2.0,801
2022,12,13.0,11660.0,132.5,1166,2.0,788
2023,1,14.0,11612.0,136.0,1170,2.0,781
2023,2,15.0,11587.0,147.0,1166,2.0,751
2023,3,17.0,11568.0,155.0,1158,2.0,712
2023,4,16.0,11715.0,151.0,1193,2.0,688
2023,5,15.0,11846.0,143.5,1200,2.0,759
2023,6,13.0,11617.0,139.5,1170,2.0,939
2023,7,12.0,11544.0,136.0,1172,2.0,986
