year,month,n_sheep_holding
2020,1,11345
2020,2,11411
2020,3,11485
2020,4,11691
2020,5,11841
2020,6,11724
2020,7,11721
2020,8,11715
2020,9,11895
2020,10,11807
2020,11,11704
2020,12,11659
2021,1,11673
2021,2,11661
2021,3,11700
2021,4,11930
2021,5,12099
2021,6,11944
2021,7,11913
2021,8,11954
2021,9,12130
2021,10,12017
2021,11,11814
2021,12,11727
2022,1,11715
2022,2,11689
2022,3,11732
2022,4,11949
2022,5,12083
2022,6,11930
2022,7,11868
2022,8,11820
2022,9,12039
2022,10,11931
2022,11,11755
2022,12,11660
2023,1,11612
2023,2,11587
2023,3,11568
2023,4,11715
2023,5,11846
2023,6,11617
2023,7,11544
