commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Scuol,4648.0,10.6,100.5,"Weisses_Alpenschaf  2698, Spiegelschaf  299, Engadinerschaf  157, Kreuzung  157, Schwarzbraunes_Bergschaf  107","Naira  14, Fuchs  7, Alba  6, Linda  5"
Glarus Süd,3741.0,8.7,39.5,"Weisses_Alpenschaf  794, Lacaune  304, Spiegelschaf  253, Kreuzung  237, Suffolk  149","Bella  5, Heidi  5"
Zernez,1684.0,4.9,111.8,"Weisses_Alpenschaf  658, Schwarzbraunes_Bergschaf  147, Kreuzung  81, Spiegelschaf  54, Suffolk  33",
Surses,1852.0,5.7,77.9,"Weisses_Alpenschaf  438, Lacaune  416, Kreuzung  191, Dorper  112, Heidschnucke  74",Nora  6
Val de Bagnes,1725.0,5.7,16.7,"Lacaune  243, Suffolk  184, Kreuzung  161, Walliser_Schwarznasenschaf  39, Walliser_Landschaf  27",
Davos,2019.0,7.1,18.6,"Lacaune  354, Weisses_Alpenschaf  270, Spiegelschaf  171, Coburger_Fuchsschaf  84, Engadinerschaf  50",
Bregaglia,801.0,3.2,51.5,"Weisses_Alpenschaf  84, Spiegelschaf  79, Schwarzbraunes_Bergschaf  24, Engadinerschaf  17, Kreuzung  12",
Anniviers,1280.0,5.3,46.7,"Engadinerschaf  423, Walliser_Schwarznasenschaf  326, Kreuzung  281, Walliser_Landschaf  24, Ostfriesisches_Milchschaf  20",
Zermatt,996.0,4.1,17.1,"Walliser_Schwarznasenschaf  986, Walliser_Landschaf  6","Barri  40, Theo  25, Thom  25, Pit  23, Eggel  20"
Innertkirchen,3237.0,13.7,302.0,"Kreuzung  620, Schwarzbraunes_Bergschaf  284, Weisses_Alpenschaf  244, Spiegelschaf  153, Engadinerschaf  81","Jacobi  5, Lara  5"
Klosters,2784.0,12.7,63.0,"Weisses_Alpenschaf  631, Spiegelschaf  172, Nolana  104, Suffolk  77, Engadinerschaf  44",
Verzasca,472.0,2.2,59.1,"Weisses_Alpenschaf  179, Kreuzung  71, Engadinerschaf  13, Walliser_Landschaf  11, Schwarzbraunes_Bergschaf  6",
Evolène,1071.0,5.1,65.0,"Kreuzung  366, Weisses_Alpenschaf  176, Suffolk  105, Walliser_Schwarznasenschaf  33, Lacaune  19",
Blenio,4714.0,23.3,266.3,"Weisses_Alpenschaf  931, Kreuzung  474, Schwarzbraunes_Bergschaf  117, Lacaune  103, Suffolk  59",Entropio  8
Guttannen,1295.0,6.4,528.6,"Kreuzung  294, Weisses_Alpenschaf  89, Schwarzbraunes_Bergschaf  68, Texel  56, Suffolk  39","Weiss  19, Schwarz  6"
Val Müstair,462.0,2.3,32.5,"Weisses_Alpenschaf  298, Skudde  135, Kreuzung  8, Engadinerschaf  6, Ouessant  5",
Poschiavo,2422.0,12.7,70.4,"Kreuzung  1103, Weisses_Alpenschaf  305, Saaser_Mutte  147, Schwarzbraunes_Bergschaf  79, Suffolk  66",
Bergün Filisur,3024.0,15.9,329.1,"Kreuzung  637, Spiegelschaf  383, Schwarzbraunes_Bergschaf  141, Weisses_Alpenschaf  116, Engadinerschaf  107",
Lavizzara,499.0,2.7,99.8,"Weisses_Alpenschaf  338, Braunkoepfiges_Fleischschaf  68, Schwarzbraunes_Bergschaf  18, Kreuzung  9",
Vals,1709.0,9.7,180.7,"Weisses_Alpenschaf  641, Kreuzung  243, Engadinerschaf  154, Suffolk  84, Spiegelschaf  78","Fiona  5, Giger  5"
Fieschertal,20.0,0.1,6.1,"Weisses_Alpenschaf  13, Walliser_Schwarznasenschaf  5",
Muotathal,7934.0,46.1,228.6,"Weisses_Alpenschaf  2040, Kreuzung  1534, Schwarzbraunes_Bergschaf  377, Lacaune  246, Spiegelschaf  123","Fiona  8, Cheviot  7, Lea  6, Gabi  5, Gloria  5, Sonja  5, Tina  5"
Grindelwald,1122.0,6.5,29.5,"Lacaune  121, Schwarzbraunes_Bergschaf  115, Kreuzung  51, Suffolk  51, Walliser_Schwarznasenschaf  30","Selina  14, Urs  9"
Lumnezia,3826.0,23.1,191.7,"Weisses_Alpenschaf  1078, Kreuzung  538, Shropshire  224, Nolana  138, Engadinerschaf  125",Sina  7
Orsières,2087.0,12.7,65.3,"Weisses_Alpenschaf  811, Texel  434, Ile_de_France_Suisse  170, Kreuzung  116, Heidschnucke  54",
Mesocco,1862.0,11.3,140.7,"Braunkoepfiges_Fleischschaf  739, Spiegelschaf  629, Kreuzung  43, Engadinerschaf  36, Saaser_Mutte  24",
Lauterbrunnen,1095.0,6.7,47.6,"Weisses_Alpenschaf  352, Kreuzung  142, Schwarzbraunes_Bergschaf  111, Dorper  88, Texel  47",
Bellinzona,372.0,2.3,0.9,"Weisses_Alpenschaf  206, Ouessant  33, Lacaune  18, Skudde  16, Kreuzung  9",
Obergoms,1438.0,9.2,219.9,"Walliser_Schwarznasenschaf  703, Suffolk  326, Weisses_Alpenschaf  152, Schwarzbraunes_Bergschaf  50, Kreuzung  42","Anna  13, Letizia  7, Sigi  5"
Arosa,640.0,4.1,20.2,"Lacaune  127, Weisses_Alpenschaf  68, Kreuzung  35, Walliser_Schwarznasenschaf  10, Suffolk  8",
Glarus Nord,1304.0,8.9,6.9,"Kreuzung  345, Buendner_Oberlaender_Schaf  106, Charollais_Suisse  105, Weisses_Alpenschaf  104, Nolana  82",Weiss  14
Safiental,1260.0,8.3,134.5,"Spiegelschaf  208, Kreuzung  191, Lacaune  112, Braunkoepfiges_Fleischschaf  73, Weisses_Alpenschaf  65",
Cevio,410.0,2.7,35.9,"Weisses_Alpenschaf  101, Walliser_Landschaf  26, Kreuzung  21, Engadinerschaf  5, Schwarzbraunes_Bergschaf  5",
Valsot,595.0,3.7,72.0,"Kreuzung  314, Weisses_Alpenschaf  52, Ile_de_France_Suisse  21, Engadinerschaf  11, Spiegelschaf  9",
Naters,2669.0,18.1,25.9,"Walliser_Schwarznasenschaf  1854, Walliser_Landschaf  278, Weisses_Alpenschaf  124, Schwarzbraunes_Bergschaf  65, Dorper  26","Zero  11, Kilian  8, Pius  7, Bella  6, Susi  6"
Silenen,1107.0,7.6,56.7,"Weisses_Alpenschaf  456, Kreuzung  91, Texel  78, Schwarzbraunes_Bergschaf  77, Engadinerschaf  35",
Mels,2379.0,17.1,27.3,"Kreuzung  511, Weisses_Alpenschaf  234, Schwarzbraunes_Bergschaf  76, Engadinerschaf  56, Suffolk  54",
S-chanf,733.0,5.3,105.2,"Weisses_Alpenschaf  272, Engadinerschaf  270, Kreuzung  31, Schwarzbraunes_Bergschaf  15, Spiegelschaf  15",
Rheinwald,2722.0,19.9,474.2,"Weisses_Alpenschaf  383, Nolana  346, Kreuzung  130, Schwarzbraunes_Bergschaf  109, Lacaune  45","Fässler  20, Romney  14, Bianca  10, Bea  5, Cheviot  5, Lisa  5, Maria  5"
