year,month,first_registration,import,birth,import_swiss_ear_tag,slaughter,death,on_farm_slaughter,export
2020,1,365653.0,126,33965,,6602,1433,188,
2020,2,1950.0,16,45744,0.0,8907,1612,238,8.0
2020,3,590.0,0,52049,0.0,14488,2561,269,
2020,4,488.0,0,30307,,17363,2686,543,0.0
2020,5,410.0,25,15516,,13898,2677,517,0.0
2020,6,247.0,77,5756,0.0,14273,2181,375,0.0
2020,7,167.0,84,3473,0.0,14399,2011,227,0.0
2020,8,218.0,127,4072,0.0,15020,2163,276,0.0
2020,9,334.0,63,12182,0.0,20844,3006,407,0.0
2020,10,142.0,56,32352,0.0,21300,3134,816,0.0
2020,11,151.0,10,24108,0.0,19532,2822,676,17.0
2020,12,165.0,33,26321,17.0,20479,3176,840,36.0
2021,1,132.0,14,34321,0.0,15662,2729,611,8.0
2021,2,37.0,0,46397,0.0,16613,2963,476,
2021,3,70.0,31,56722,,28037,3803,641,6.0
2021,4,27.0,6,36386,35.0,18286,3771,536,0.0
2021,5,50.0,44,19011,0.0,18933,3313,546,0.0
2021,6,18.0,21,7003,0.0,17242,2671,415,0.0
2021,7,44.0,66,3353,0.0,14841,2780,304,0.0
2021,8,10.0,116,3815,0.0,16825,3184,302,
2021,9,12.0,24,10158,0.0,22596,3706,443,
2021,10,13.0,61,31872,0.0,20525,3976,770,
2021,11,13.0,36,24191,0.0,22400,3287,812,
2021,12,16.0,18,26782,0.0,22772,3560,874,0.0
2022,1,31.0,0,36953,0.0,15859,3396,634,
2022,2,16.0,11,46120,0.0,15932,3600,509,5.0
2022,3,29.0,41,56635,0.0,21475,4251,418,
2022,4,17.0,119,35846,0.0,22350,4413,586,
2022,5,18.0,81,19436,0.0,18056,4399,415,9.0
2022,6,30.0,73,6143,0.0,16654,4070,452,0.0
2022,7,,26,3619,0.0,14106,3827,289,
2022,8,47.0,56,3417,0.0,17983,3491,324,
2022,9,17.0,38,9429,,23029,4408,441,0.0
2022,10,23.0,25,30975,0.0,20934,4050,568,0.0
2022,11,44.0,16,24401,0.0,20323,3851,644,0.0
2022,12,46.0,0,23219,0.0,21497,3534,645,0.0
2023,1,17.0,28,32986,0.0,16967,3054,577,0.0
2023,2,,106,49737,0.0,16122,3775,472,8.0
2023,3,0.0,29,54803,,29160,4531,457,0.0
2023,4,14.0,29,33232,0.0,19202,4557,595,0.0
2023,5,,48,16592,0.0,18643,3650,497,
2023,6,9.0,0,5614,0.0,19982,3716,361,22.0
2023,7,,174,2294,0.0,13514,2614,345,0.0
