year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1215_years_old
2020,1,Male,54426,4713,2633,1751,1112,674,317,194,116,95,59,21,26
2020,2,Male,69797,5155,2725,1890,1133,725,326,206,128,89,68,25,26
2020,3,Male,85044,5469,2844,1985,1170,754,365,224,138,90,74,22,31
2020,4,Male,89133,5495,2920,1993,1202,759,377,224,142,77,82,24,33
2020,5,Male,87234,5480,2887,1991,1194,765,386,225,143,81,82,25,33
2020,6,Male,81732,5299,2832,1971,1179,745,383,224,135,79,85,26,32
2020,7,Male,75475,5202,2797,1958,1163,748,375,224,133,74,84,26,32
2020,8,Male,68399,5091,2792,1931,1154,732,362,224,127,71,85,25,32
2020,9,Male,61778,5220,2800,1880,1175,734,362,217,129,70,85,26,32
2020,10,Male,64651,5491,2837,1913,1172,765,370,223,131,69,87,26,33
2020,11,Male,64358,6158,2796,1882,1178,757,366,215,133,66,84,26,33
2020,12,Male,63250,8020,2806,1855,1242,798,418,218,144,84,77,42,37
2021,1,Male,70386,7977,2845,1871,1227,798,450,218,137,91,72,47,36
2021,2,Male,82085,8571,2926,1888,1295,793,474,216,146,101,59,58,40
2021,3,Male,92325,8976,3002,1964,1358,802,500,225,159,108,57,62,42
2021,4,Male,98130,9085,2997,1984,1354,832,500,241,157,109,52,70,47
2021,5,Male,95672,8827,3035,1972,1349,824,504,245,156,111,54,71,45
2021,6,Male,89464,8466,3005,1945,1357,818,489,242,154,109,55,73,46
2021,7,Male,82402,8196,2977,1917,1347,797,469,235,150,107,50,72,47
2021,8,Male,74120,7941,2923,1903,1315,778,462,227,149,104,51,72,44
2021,9,Male,65611,7877,2930,1924,1273,779,464,231,144,105,49,73,44
2021,10,Male,67822,8130,3092,1913,1311,772,489,241,150,103,49,72,45
2021,11,Male,66789,8003,3249,1894,1269,770,484,247,150,103,49,70,45
2021,12,Male,66562,6996,3917,1879,1227,841,534,273,148,106,68,58,60
2022,1,Male,73803,7547,3997,1890,1225,830,524,302,146,103,74,57,63
2022,2,Male,85116,8337,4258,1981,1239,890,505,326,142,103,77,45,75
2022,3,Male,98063,9058,4677,2024,1302,925,530,332,155,107,84,42,80
2022,4,Male,101250,9024,4936,2007,1351,920,567,337,164,104,88,41,87
2022,5,Male,99146,8850,4995,2038,1346,903,564,342,166,102,87,44,86
2022,6,Male,92338,8483,4924,2003,1326,895,541,330,167,105,85,43,86
2022,7,Male,85535,8011,4817,1987,1305,885,526,322,164,105,84,42,87
2022,8,Male,77240,7714,4683,1953,1289,871,522,327,156,106,82,43,88
2022,9,Male,68446,7555,4613,1943,1299,831,521,323,159,105,80,41,88
2022,10,Male,70458,7978,4579,2075,1298,861,509,340,160,112,79,38,88
2022,11,Male,70147,7993,4430,2208,1295,827,512,333,169,106,79,38,88
2022,12,Male,69085,7856,3904,2536,1273,818,543,362,191,95,87,53,92
2023,1,Male,74263,8337,3957,2595,1296,795,538,341,202,97,78,54,91
2023,2,Male,86968,9346,4233,2752,1325,807,584,311,210,89,76,59,92
2023,3,Male,95318,9496,4531,2947,1335,883,588,324,215,103,80,66,88
2023,4,Male,98580,9554,4651,3093,1299,932,564,360,216,111,77,69,88
2023,5,Male,94580,9416,4719,3124,1318,915,565,355,217,115,73,65,92
2023,6,Male,85958,8900,4642,3085,1291,898,560,336,207,113,76,65,94
2023,7,Male,79156,8609,4590,3049,1283,882,554,326,205,111,76,65,93
2020,1,Female,97008,54371,49975,38554,28444,20200,12063,7484,4795,2979,1564,642,511
