year,month,ch,fl
2020,1,384730,3645
2020,2,419708,3704
2020,3,452633,3745
2020,4,461420,3568
2020,5,458383,3281
2020,6,447393,1291
2020,7,434640,957
2020,8,420594,910
2020,9,404180,2934
2020,10,409843,3557
2020,11,409988,4146
2020,12,411283,4145
2021,1,425911,4222
2021,2,451757,4123
2021,3,474772,4098
2021,4,487506,4303
2021,5,482651,4320
2021,6,471309,1427
2021,7,456440,1243
2021,8,439456,1143
2021,9,419825,2921
2021,10,424474,3940
2021,11,421338,4243
2021,12,420027,4328
2022,1,436566,4328
2022,2,462069,4321
2022,3,492005,4267
2022,4,499803,4257
2022,5,496173,3708
2022,6,482893,1432
2022,7,467459,1201
2022,8,448468,1059
2022,9,426911,2894
2022,10,430242,4047
2022,11,428801,4320
2022,12,425397,4439
2023,1,437015,4340
2023,2,465934,4363
2023,3,485823,4300
2023,4,493958,4109
2023,5,486693,3833
2023,6,468362,1701
2023,7,452582,1533
