year,month,male,female
2020,1,66137,318593
2020,2,82293,337415
2020,3,98210,354423
2020,4,102461,358959
2020,5,100526,357857
2020,6,94722,352671
2020,7,88291,346349
2020,8,81025,339569
2020,9,74508,329672
2020,10,77768,332075
2020,11,78052,331936
2020,12,78993,332290
2021,1,86156,339755
2021,2,98653,353104
2021,3,109580,365192
2021,4,115558,371948
2021,5,112865,369786
2021,6,106223,365086
2021,7,98766,357674
2021,8,90089,349367
2021,9,81504,338321
2021,10,84189,340285
2021,11,83122,338216
2021,12,82671,337356
2022,1,90561,346005
2022,2,103094,358975
2022,3,117379,374626
2022,4,120876,378927
2022,5,118669,377504
2022,6,111326,371567
2022,7,103870,363589
2022,8,95074,353394
2022,9,86004,340907
2022,10,88575,341667
2022,11,88225,340576
2022,12,86897,338500
2023,1,92644,344371
2023,2,106852,359082
2023,3,115974,369849
2023,4,119594,374364
2023,5,115554,371139
2023,6,106225,362137
2023,7,98999,353583
