year,month,male,n_stillbirth_male,female,n_stillbirth_female
2020,1,0.0247,402,0.0175,318
2020,2,0.024,535,0.0183,444
2020,3,0.0244,618,0.0194,536
2020,4,0.0244,357,0.0198,321
2020,5,0.0188,139,0.0136,112
2020,6,0.0186,52,0.0173,53
2020,7,0.0233,42,0.0184,32
2020,8,0.0194,35,0.0142,33
2020,9,0.0267,164,0.0203,127
2020,10,0.022,343,0.0161,269
2020,11,0.0225,263,0.0146,181
2020,12,0.0236,307,0.0179,243
2021,1,0.0274,470,0.0219,390
2021,2,0.0299,689,0.0209,509
2021,3,0.0279,789,0.0219,650
2021,4,0.0279,496,0.0195,376
2021,5,0.0191,174,0.0151,151
2021,6,0.0147,48,0.0136,52
2021,7,0.0235,38,0.0205,37
2021,8,0.0233,43,0.0209,43
2021,9,0.0257,130,0.0282,151
2021,10,0.0224,349,0.0185,301
2021,11,0.0233,277,0.0191,235
2021,12,0.0305,399,0.023,322
2022,1,0.0346,635,0.0253,495
2022,2,0.031,718,0.026,625
2022,3,0.0262,730,0.0232,696
2022,4,0.0292,513,0.0227,433
2022,5,0.0199,186,0.0168,172
2022,6,0.0169,48,0.0157,53
2022,7,0.0185,32,0.0124,24
2022,8,0.0222,39,0.0208,36
2022,9,0.0315,149,0.0237,117
2022,10,0.0233,354,0.018,282
2022,11,0.0251,305,0.0181,222
2022,12,0.0244,282,0.0233,280
2023,1,0.0298,490,0.0213,367
2023,2,0.0297,743,0.0246,635
2023,3,0.0298,810,0.0219,631
2023,4,0.0271,437,0.0194,344
2023,5,0.0234,184,0.0162,143
2023,6,0.0238,61,0.0128,40
2023,7,0.0254,25,0.0184,25
