year,month,age_less_than1y,age_more_than1y
2020,1,107,150
2020,2,89,141
2020,3,94,143
2020,4,552,803
2020,5,24133,34854
2020,6,66048,94391
2020,7,68211,97499
2020,8,63634,95008
2020,9,16072,30479
2020,10,1443,2418
2020,11,134,166
2020,12,75,140
2021,1,123,186
2021,2,106,203
2021,3,64,179
2021,4,572,690
2021,5,10758,16826
2021,6,65940,94801
2021,7,72542,104443
2021,8,67419,101819
2021,9,24269,42234
2021,10,1606,3048
2021,11,408,837
2021,12,259,592
2022,1,137,116
2022,2,114,120
2022,3,67,166
2022,4,765,1019
2022,5,22128,31828
2022,6,74178,104418
2022,7,75535,107459
2022,8,69307,102565
2022,9,18473,33785
2022,10,1726,3440
2022,11,413,794
2022,12,214,206
2023,1,281,239
2023,2,236,280
2023,3,35,300
2023,4,637,1177
2023,5,19424,28992
2023,6,70109,102273
2023,7,72456,106281
