year,month,ai,be,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,ti,ur,vd,vs,
2020,1,26.0,6,37.0,0.0,71,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7,42,42.0,15.0,5,0
2020,2,21.0,9,,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6,52,42.0,15.0,5,0
2020,3,27.0,9,,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7,53,42.0,17.0,5,0
2020,4,30.0,24,61.0,0.0,1062,0.0,0.0,0.0,0.0,0.0,36.0,6.0,12,57,43.0,18.0,6,0
2020,5,539.0,5263,3028.0,1574.0,22082,189.0,16.0,0.0,380.0,688.0,3163.0,6.0,3325,2755,5029.0,4407.0,6543,0
2020,6,750.0,18782,4470.0,3918.0,46494,196.0,511.0,14.0,1605.0,1249.0,9665.0,46.0,8427,10971,15313.0,7449.0,30579,0
2020,7,746.0,18956,4606.0,3904.0,46858,196.0,508.0,19.0,1568.0,1271.0,9747.0,64.0,8344,11149,16041.0,7685.0,34048,0
2020,8,745.0,18542,4336.0,3771.0,45139,193.0,507.0,14.0,1549.0,1165.0,9140.0,61.0,8012,10807,15510.0,6899.0,32252,0
2020,9,17.0,1158,1227.0,,17787,100.0,16.0,0.0,10.0,,177.0,19.0,1222,4209,2277.0,5062.0,13266,0
2020,10,9.0,186,46.0,0.0,2014,,,0.0,,0.0,8.0,20.0,22,544,5.0,23.0,979,0
2020,11,,29,,0.0,95,,0.0,0.0,,0.0,0.0,17.0,17,93,6.0,20.0,18,0
2020,12,0.0,29,,0.0,61,,0.0,0.0,,0.0,0.0,17.0,17,58,,18.0,8,0
2021,1,0.0,29,,0.0,45,0.0,0.0,0.0,,0.0,0.0,16.0,140,48,,17.0,8,0
2021,2,0.0,29,,0.0,45,0.0,0.0,0.0,,0.0,0.0,,150,48,,19.0,8,0
2021,3,0.0,29,,0.0,5,0.0,0.0,0.0,,0.0,0.0,,141,48,,,8,0
2021,4,0.0,33,129.0,0.0,970,0.0,0.0,0.0,,0.0,24.0,,27,62,,,8,0
2021,5,55.0,726,1424.0,248.0,13134,217.0,6.0,0.0,272.0,0.0,179.0,,2336,2295,1073.0,2982.0,1889,744
2021,6,771.0,17610,5301.0,3999.0,48061,244.0,567.0,7.0,1705.0,1215.0,11531.0,92.0,8637,11383,13142.0,6628.0,29109,739
2021,7,771.0,19790,5187.0,4030.0,48301,238.0,569.0,9.0,1734.0,1394.0,11933.0,107.0,8839,11406,16328.0,7988.0,37627,734
2021,8,764.0,19229,4986.0,3894.0,46543,228.0,567.0,6.0,1717.0,1356.0,10768.0,93.0,8443,11195,15868.0,7491.0,35505,585
2021,9,0.0,2356,2070.0,146.0,22376,144.0,6.0,6.0,16.0,109.0,1971.0,14.0,2343,7134,4329.0,5034.0,17864,585
2021,10,0.0,72,261.0,,1529,71.0,6.0,0.0,0.0,0.0,39.0,15.0,29,660,60.0,261.0,1066,584
2021,11,0.0,31,,,198,0.0,0.0,0.0,0.0,0.0,32.0,15.0,28,246,29.0,0.0,80,583
2021,12,0.0,31,,,45,0.0,0.0,0.0,0.0,0.0,17.0,,40,80,,0.0,44,582
2022,1,0.0,28,,,45,0.0,0.0,0.0,0.0,0.0,9.0,,42,71,5.0,0.0,44,0
2022,2,0.0,24,,,40,0.0,0.0,0.0,0.0,0.0,9.0,,37,73,,0.0,38,0
2022,3,0.0,52,,,40,0.0,0.0,0.0,0.0,0.0,9.0,,15,66,,0.0,38,0
2022,4,0.0,162,38.0,,1377,0.0,0.0,0.0,0.0,0.0,9.0,,21,145,,0.0,24,0
2022,5,443.0,2617,2881.0,1340.0,20162,241.0,5.0,0.0,348.0,558.0,3889.0,24.0,4260,2630,3216.0,4410.0,6258,674
2022,6,829.0,21666,4772.0,4302.0,50983,241.0,589.0,10.0,1627.0,1480.0,11643.0,107.0,8901,11440,15411.0,9061.0,34863,671
2022,7,826.0,21888,5879.0,4261.0,50557,243.0,529.0,14.0,1624.0,1476.0,11625.0,100.0,8987,11574,15640.0,8668.0,38432,671
2022,8,820.0,20851,5671.0,4293.0,46436,242.0,529.0,55.0,1555.0,1451.0,10825.0,79.0,8401,10695,15220.0,7449.0,36821,479
2022,9,8.0,2543,1486.0,0.0,19193,124.0,14.0,5.0,12.0,118.0,127.0,25.0,1489,3878,2711.0,3569.0,16477,479
2022,10,8.0,238,304.0,0.0,1837,21.0,12.0,,0.0,0.0,19.0,17.0,19,644,43.0,333.0,1197,473
2022,11,8.0,72,49.0,0.0,127,0.0,9.0,,0.0,0.0,11.0,0.0,13,180,24.0,,239,473
2022,12,8.0,53,6.0,0.0,64,0.0,0.0,,0.0,0.0,,0.0,11,58,37.0,,179,0
2023,1,8.0,53,6.0,0.0,41,0.0,0.0,,0.0,0.0,,0.0,134,58,37.0,,179,0
2023,2,8.0,53,7.0,0.0,41,0.0,0.0,,0.0,0.0,,0.0,126,58,35.0,,184,0
2023,3,0.0,19,6.0,0.0,40,0.0,0.0,,0.0,0.0,,0.0,0,57,25.0,,184,0
2023,4,0.0,146,40.0,0.0,1363,0.0,0.0,,0.0,0.0,,0.0,0,55,24.0,,182,0
2023,5,299.0,2130,2199.0,835.0,20025,242.0,13.0,,327.0,476.0,3227.0,5.0,3105,2545,2292.0,4162.0,5803,730
2023,6,780.0,21001,4763.0,3861.0,51422,243.0,556.0,112.0,1682.0,1411.0,11981.0,90.0,9019,10642,14964.0,7501.0,31692,662
2023,7,777.0,21722,5049.0,3872.0,50991,241.0,512.0,85.0,1709.0,1485.0,11986.0,80.0,9114,10750,15507.0,8110.0,36086,661
