year,month,ai,be,fl,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,ti,ur,vd,vs,
2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2,5.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020,3,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020,4,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2020,5,,10.0,0.0,,0.0,64.0,0.0,0.0,0.0,0.0,0.0,,0.0,21.0,6.0,,28.0,0.0,0.0
2020,6,,50.0,0.0,6.0,,178.0,0.0,0.0,0.0,,,62.0,0.0,31.0,5.0,40.0,79.0,227.0,0.0
2020,7,,39.0,0.0,27.0,7.0,216.0,0.0,,0.0,,7.0,68.0,0.0,72.0,21.0,74.0,142.0,227.0,0.0
2020,8,0.0,119.0,,38.0,6.0,227.0,0.0,,0.0,,7.0,35.0,0.0,33.0,8.0,94.0,132.0,317.0,0.0
2020,9,11.0,178.0,0.0,32.0,42.0,550.0,0.0,,,10.0,,102.0,,53.0,44.0,219.0,150.0,735.0,0.0
2020,10,,7.0,0.0,21.0,0.0,168.0,0.0,0.0,0.0,0.0,,9.0,0.0,16.0,80.0,13.0,48.0,279.0,0.0
2020,11,0.0,10.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,36.0,0.0,0.0,20.0,0.0
2020,12,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.0,0.0
2021,1,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2021,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2021,3,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2021,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,5,0.0,0.0,0.0,,0.0,18.0,0.0,,0.0,0.0,0.0,30.0,0.0,24.0,0.0,,9.0,,9.0
2021,6,,54.0,0.0,79.0,10.0,115.0,0.0,0.0,0.0,0.0,0.0,46.0,,35.0,33.0,23.0,67.0,55.0,8.0
2021,7,,54.0,0.0,68.0,17.0,235.0,0.0,,0.0,,5.0,145.0,0.0,66.0,17.0,58.0,67.0,130.0,5.0
2021,8,5.0,71.0,0.0,58.0,33.0,314.0,0.0,,0.0,,,129.0,0.0,58.0,15.0,137.0,109.0,280.0,0.0
2021,9,,150.0,0.0,65.0,45.0,374.0,0.0,,0.0,6.0,,116.0,10.0,88.0,99.0,266.0,153.0,828.0,0.0
2021,10,0.0,50.0,0.0,19.0,0.0,197.0,,,0.0,0.0,,40.0,0.0,17.0,334.0,22.0,85.0,238.0,0.0
2021,11,0.0,41.0,0.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,10.0,,16.0,0.0
2021,12,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,26.0,0.0,,0.0
2022,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,0.0
2022,2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2022,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2022,4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
2022,5,0.0,,0.0,5.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,55.0,6.0,,0.0
2022,6,10.0,63.0,0.0,10.0,20.0,237.0,,,0.0,0.0,0.0,66.0,0.0,35.0,70.0,58.0,106.0,174.0,
2022,7,,63.0,0.0,30.0,39.0,259.0,0.0,0.0,0.0,,0.0,78.0,0.0,58.0,30.0,56.0,232.0,116.0,0.0
2022,8,6.0,123.0,0.0,56.0,20.0,268.0,0.0,0.0,0.0,,0.0,63.0,0.0,88.0,102.0,49.0,174.0,388.0,0.0
2022,9,16.0,226.0,0.0,62.0,101.0,757.0,,5.0,0.0,6.0,27.0,183.0,0.0,77.0,111.0,156.0,122.0,465.0,0.0
2022,10,0.0,19.0,0.0,,0.0,251.0,,0.0,,0.0,0.0,9.0,0.0,44.0,59.0,35.0,28.0,411.0,0.0
2022,11,0.0,101.0,0.0,5.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,8.0,,6.0,22.0,14.0,7.0,10.0,0.0
2022,12,0.0,18.0,0.0,31.0,0.0,60.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,,59.0,0.0,0.0,11.0,0.0
2023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
2023,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,3,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2023,4,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,5,0.0,15.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,,0.0,,0.0,18.0,0.0,,5.0,21.0,7.0
2023,6,0.0,45.0,0.0,9.0,13.0,121.0,0.0,0.0,,,,65.0,0.0,51.0,74.0,46.0,175.0,36.0,68.0
2023,7,,51.0,0.0,,14.0,139.0,0.0,0.0,,,0.0,51.0,0.0,29.0,32.0,34.0,69.0,117.0,0.0
