year,month,male,female
2020,1,63,194
2020,2,59,171
2020,3,61,176
2020,4,236,1119
2020,5,9910,49077
2020,6,26684,133755
2020,7,27544,138166
2020,8,25294,133348
2020,9,6542,40009
2020,10,707,3154
2020,11,84,216
2020,12,57,158
2021,1,65,244
2021,2,76,233
2021,3,55,188
2021,4,222,1040
2021,5,4730,22854
2021,6,27248,133493
2021,7,30262,146723
2021,8,27566,141672
2021,9,10263,56240
2021,10,784,3870
2021,11,212,1033
2021,12,119,732
2022,1,84,169
2022,2,80,154
2022,3,76,157
2022,4,300,1484
2022,5,9809,44147
2022,6,31711,146885
2022,7,32557,150437
2022,8,29383,142489
2022,9,8343,43915
2022,10,912,4254
2022,11,250,957
2022,12,145,275
2023,1,180,340
2023,2,179,337
2023,3,119,216
2023,4,340,1474
2023,5,9121,39295
2023,6,30261,142121
2023,7,31458,147279
