year,month,dairy_sheep,other_sheep,not_defined
2020,1,0.0,,242
2020,2,0.0,12.0,204
2020,3,0.0,25.0,198
2020,4,0.0,253.0,1088
2020,5,226.0,16348.0,42399
2020,6,781.0,43995.0,115648
2020,7,827.0,45819.0,119049
2020,8,673.0,44878.0,113079
2020,9,494.0,16075.0,29971
2020,10,0.0,1477.0,2373
2020,11,0.0,62.0,227
2020,12,0.0,48.0,156
2021,1,0.0,66.0,232
2021,2,0.0,57.0,241
2021,3,0.0,40.0,192
2021,4,0.0,454.0,797
2021,5,412.0,12449.0,14712
2021,6,1863.0,70961.0,87905
2021,7,1900.0,77191.0,97882
2021,8,1869.0,75024.0,92333
2021,9,1116.0,30512.0,34864
2021,10,,1953.0,2688
2021,11,,472.0,761
2021,12,,321.0,518
2022,1,0.0,60.0,182
2022,2,0.0,55.0,168
2022,3,0.0,60.0,162
2022,4,0.0,706.0,1067
2022,5,944.0,24646.0,28355
2022,6,2801.0,78824.0,96959
2022,7,2868.0,80537.0,99584
2022,8,3079.0,76014.0,92774
2022,9,1195.0,24277.0,26783
2022,10,80.0,2250.0,2834
2022,11,,507.0,699
2022,12,,127.0,292
2023,1,,147.0,372
2023,2,,146.0,369
2023,3,,105.0,229
2023,4,,746.0,1067
2023,5,831.0,21914.0,25671
2023,6,3009.0,76646.0,92727
2023,7,3033.0,79206.0,96498
