year,month,total
2020,1,257
2020,2,230
2020,3,237
2020,4,1355
2020,5,58987
2020,6,160439
2020,7,165710
2020,8,158642
2020,9,46551
2020,10,3861
2020,11,300
2020,12,215
2021,1,309
2021,2,309
2021,3,243
2021,4,1262
2021,5,27584
2021,6,160741
2021,7,176985
2021,8,169238
2021,9,66503
2021,10,4654
2021,11,1245
2021,12,851
2022,1,253
2022,2,234
2022,3,233
2022,4,1784
2022,5,53956
2022,6,178596
2022,7,182994
2022,8,171872
2022,9,52258
2022,10,5166
2022,11,1207
2022,12,420
2023,1,520
2023,2,516
2023,3,335
2023,4,1814
2023,5,48416
2023,6,172382
2023,7,178737
