owner_language,name,rank_language,count_language,rank_overall,count_total
de,Luna,1,393,1,422
it,Luna,5,12,1,422
de,Bella,2,324,2,373
fr,Bella,2,32,2,373
it,Bella,2,15,2,373
de,Lisa,5,311,3,331
it,Lisa,5,12,3,331
de,Anna,3,314,4,329
de,Sina,3,314,5,322
de,Mia,7,291,6,312
de,Lara,6,292,7,304
it,Nina,8,10,7,304
de,Nina,9,278,7,304
it,Emma,9,9,9,292
de,Emma,10,275,9,292
de,Susi,8,279,10,290
de,Fiona,10,275,11,287
it,Bianca,1,20,17,231
fr,Perrin,1,198,21,198
fr,Lili,8,26,26,186
it,Stella,2,15,28,172
fr,Fleur,8,26,162,63
it,Pina,7,11,193,56
fr,Blanche,3,29,281,38
fr,Brunette,4,28,365,31
fr,Capucine,5,27,405,28
fr,Cerise,5,27,405,28
fr,Myrtille,5,27,419,27
fr,Neige,8,26,419,27
it,Nerina,2,15,474,24
it,Neve,9,9,1132,10
