year,month,dairy_sheep,other_sheep,not_defined,total
2020,1,1127,21046,361573,384730
2020,2,3154,48096,367473,419708
2020,3,4555,79228,367866,452633
2020,4,5287,97053,358098,461420
2020,5,5459,105921,346019,458383
2020,6,5563,107757,333089,447393
2020,7,5813,107971,319872,434640
2020,8,6234,107629,305749,420594
2020,9,7237,109262,286701,404180
2020,10,7789,121381,279694,409843
2020,11,8220,128760,272028,409988
2020,12,8904,134772,266639,411283
2021,1,9322,141479,274140,425911
2021,2,10116,149982,290691,451757
2021,3,10825,161321,301670,474772
2021,4,11136,168483,306935,487506
2021,5,11206,170547,299951,482651
2021,6,11115,170636,288613,471309
2021,7,11007,168711,275780,456440
2021,8,10910,166302,261304,439456
2021,9,10867,162394,245628,419825
2021,10,10849,162121,250571,424474
2021,11,10794,161697,247915,421338
2021,12,11190,161564,246350,420027
2022,1,11754,163799,260108,436566
2022,2,12448,167834,280916,462069
2022,3,13047,175060,303070,492005
2022,4,13425,179424,306167,499803
2022,5,13414,180083,302030,496173
2022,6,13131,178822,290628,482893
2022,7,12893,176399,277903,467459
2022,8,13207,172429,262611,448468
2022,9,12931,167557,246220,426911
2022,10,12756,166106,251192,430242
2022,11,12706,165190,250723,428801
2022,12,12924,164488,247826,425397
2023,1,13152,165553,258167,437015
2023,2,13493,169415,282897,465934
2023,3,13928,175937,295839,485823
2023,4,14088,179318,300445,493958
2023,5,14048,179262,293282,486693
2023,6,13724,177146,277394,468362
2023,7,13478,174209,264799,452582
